Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD,SentencePresence,WavfileDir,TriggerFixFlipTime,TriggerFixFlipEnd,FixFlipTime,FixFlipEnd,FixClearFlipTime,FixClearFlipEnd,DurAudOnset,StimAudOnset,StimAudFlipTime,StimHSOnset,StimHSFlipTime,StimHSFlipEnd,DurGbOnset,StimGbOnset,StimGbFlipTime,StimGbFlipEnd,GbClearFlipTime,GbClearFlipEnd,HSClearFlipTime,HSClearFlipEnd,endAudPositionSecs,estAudStopTime,Resp1PrmptTime,Resp1FlipTime,Resp1FlipEnd,Resp1ScrClearTime,Resp1ClearFlipTime,Resp1ClearFlipEnd,Resp2FlipTime,Resp2FlipEnd,Resp2ScrClearTime,TrialDuration,EndPromptFlipTime,EndPromptFlipEnd,SentenceOnset,SentenceFlipTime,SentenceFlipEnd,RunStartTime,BlockStartTime,BlockEndTime,BlockDur,RunDur,RunEndTime,RespAud,AccAud,RtAbsAud,RTAud,RespGb,AccGb,RtAbsGb,RTGb,RespMemory,AccMemory,RtAbsMemory,RTMemory
AN221026,1,pretrain,1,1,bkbg0913,The dinner plate's hot,dinner,plates,hot,NA,1344,bkbg0913_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg0913_8ch.wav,NaN,NaN,262962.6864879,262962.6865027,0.202040200005285,0.202092599996831,NaN,262962.8085281,0.6506922999979,262962.8885281,0.657676700036973,0.657691300031729,NaN,NaN,NaN,NaN,NaN,NaN,1.99681790004252,1.99688200000674,1.344,262964.6897806,262964.6833058,2.1572223000112,2.15724130003946,262966.3437102,3.65910160000203,3.65912060003029,NaN,NaN,NaN,3.6730163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,262965.6075456,0.763835399993695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AN221026,2,pretrain,1,1,aslg1315,The boy ate his lunch,boy,ate,lunch,NA,1962.666667,aslg1315_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg1315_8ch.wav,NaN,NaN,262966.3714874,262966.3715156,0.202597199997399,0.202659799950197,NaN,262966.4940846,0.400422299979255,262966.5740846,0.406468999979552,0.40648579999106,NaN,NaN,NaN,NaN,NaN,NaN,2.36519689997658,2.36525959998835,1.96266666666667,262968.744053267,262968.7366843,2.39400979998754,2.39402869995683,262970.2654972,3.89634089998435,3.89639749994967,NaN,NaN,NaN,3.9127899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,262969.0332857,0.267788500001188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AN221026,3,pretrain,1,1,aslg0203,She brought her camera,She,brought,camera,NA,1450.666667,aslg0203_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg0203_8ch.wav,NaN,NaN,262970.2875517,262970.2875781,0.202640099974815,0.202697100001387,NaN,262970.4101918,0.391197199991439,262970.4901918,0.396965799969621,0.396994099952281,NaN,NaN,NaN,NaN,NaN,NaN,1.84361139999237,1.84363229997689,1.45066666666667,262972.137401567,262972.1311631,1.86595909995958,1.86598099995172,262973.6535108,3.36795379995601,3.36801069998182,NaN,NaN,NaN,3.3816075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,262972.5172171,0.363706300035119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AN221026,4,pretrain,1,1,aslg1107,The apples came in a bag,apples,came,bag,NA,1629.1875,aslg1107_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg1107_8ch.wav,NaN,NaN,262973.6871953,262973.687226,0.202292700007092,0.202318699972238,NaN,262973.809488,0.398859000008088,262973.889488,0.405715300003067,0.40572899999097,NaN,NaN,NaN,NaN,NaN,NaN,2.03019730001688,2.03026129998034,1.6291875,262975.7245578,262975.7173926,2.05532159999711,2.0553417999763,262977.2425169,3.55720510001993,3.55722570000216,NaN,NaN,NaN,3.5719175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,262976.1861137,0.44359679997433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AN221026,5,pretrain,1,1,aslg0515,The nurse helped the child,nurse,helped,child,NA,1774.916667,aslg0515_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg0515_8ch.wav,NaN,NaN,262977.2700229,262977.2700533,0.202566499996465,0.202623199962545,NaN,262977.3925894,0.382777199964039,262977.4725894,0.390276499965694,0.390290499955881,NaN,NaN,NaN,NaN,NaN,NaN,2.15978769998765,2.15985029999865,1.77491666666667,262979.437224067,262979.4298106,2.19053520000307,2.19055509997997,262980.9605581,3.69237849995261,3.69239709997782,NaN,NaN,NaN,3.7087537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,262979.8023573,0.3417991999886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AN221026,6,pretrain,1,1,bkbg0106,They’re buying some bread,Theyre,buying,bread,NA,1344,bkbg0106_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg0106_8ch.wav,NaN,NaN,262980.9861079,262980.9861357,0.202768800023478,0.202832500042859,NaN,262981.1088767,0.378074900014326,262981.1888767,0.383645199995954,0.383684800006449,NaN,NaN,NaN,NaN,NaN,NaN,1.72377610002877,1.72379930003081,1.344,262982.7105689,262982.709884,1.74046810000436,1.74048770003719,262984.226576,3.24248360004276,3.2425404000096,NaN,NaN,NaN,3.2582478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,262983.5708577,0.844281700032298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AN221026,7,pretrain,1,3,aslg0903,The lemons were quite bitter,lemons,quite,bitter,NA,1766.625,aslg0903_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg0903_4ch.wav,NaN,NaN,262984.2524527,262984.2524833,0.202619799994864,0.202676100016106,NaN,262984.3750725,0.372121300024446,262984.4550725,0.377933799987659,0.377950599999167,NaN,NaN,NaN,NaN,NaN,NaN,2.14056610001717,2.1405853999895,1.766625,262986.4010275,262986.3930188,2.16291810001712,2.16293799999403,262987.9153708,3.6649445000221,3.66500139998971,NaN,NaN,NaN,3.6795206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,262986.9653977,0.550026900018565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AN221026,8,pretrain,1,3,bkbg0104,Children like strawberries,Children,like,strawberries,NA,1642.666667,bkbg0104_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg0104_4ch.wav,NaN,NaN,262987.9354074,262987.935442,0.202480799984187,0.202538499957882,NaN,262988.0578882,0.407733500003815,262988.1378882,0.413602099986747,0.413615999976173,NaN,NaN,NaN,NaN,NaN,NaN,2.05242409999482,2.05244269996183,1.64266666666667,262989.991833867,262989.9878315,2.07785890001105,2.07787989999633,262991.5132663,3.57991989998845,3.57997729995986,NaN,NaN,NaN,3.5921958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,262990.4037757,0.390509399992879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AN221026,9,pretrain,1,3,bkbg0713,The girl has a picture book,girl,picture,book,NA,1578.666667,bkbg0713_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg0713_4ch.wav,NaN,NaN,262991.5349012,262991.5349276,0.202529800008051,0.202548300032504,NaN,262991.657431,0.38143000000855,262991.737431,0.387108900002204,0.387124400003813,NaN,NaN,NaN,NaN,NaN,NaN,1.96226900001056,1.96235060004983,1.57866666666667,262993.504984867,262993.4971702,1.98641090001911,1.98643020004965,262995.0213121,3.48852060001809,3.48860229999991,NaN,NaN,NaN,3.5020092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,262993.9818214,0.460509299999103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AN221026,10,pretrain,1,3,aslg1213,The new teacher's nice,new,teachers,nice,NA,1632.979167,aslg1213_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg1213_4ch.wav,NaN,NaN,262995.0510334,262995.0510593,0.202649199985899,0.202668000012636,NaN,262995.1736826,0.374429300019983,262995.2536826,0.380698000022676,0.38071990001481,NaN,NaN,NaN,NaN,NaN,NaN,2.00917919998756,2.00919990002876,1.63297916666667,262997.067273267,262997.0602126,2.03057180001633,2.03061000001617,262998.5816052,3.53257749998011,3.53263650002191,NaN,NaN,NaN,3.5476858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,262998.0492163,0.967611100000795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
