Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD
AN221026,1,pretrain,1,1,bkbg0913,The dinner plate's hot,dinner,plates,hot,NA,1344,bkbg0913_8ch.wav,NaN,NaN,NaN,NaN
AN221026,2,pretrain,1,1,aslg1315,The boy ate his lunch,boy,ate,lunch,NA,1962.666667,aslg1315_8ch.wav,NaN,NaN,NaN,NaN
AN221026,3,pretrain,1,1,aslg0203,She brought her camera,She,brought,camera,NA,1450.666667,aslg0203_8ch.wav,NaN,NaN,NaN,NaN
AN221026,4,pretrain,1,1,aslg1107,The apples came in a bag,apples,came,bag,NA,1629.1875,aslg1107_8ch.wav,NaN,NaN,NaN,NaN
AN221026,5,pretrain,1,1,aslg0515,The nurse helped the child,nurse,helped,child,NA,1774.916667,aslg0515_8ch.wav,NaN,NaN,NaN,NaN
AN221026,6,pretrain,1,1,bkbg0106,They’re buying some bread,Theyre,buying,bread,NA,1344,bkbg0106_8ch.wav,NaN,NaN,NaN,NaN
AN221026,7,pretrain,1,3,aslg0903,The lemons were quite bitter,lemons,quite,bitter,NA,1766.625,aslg0903_4ch.wav,NaN,NaN,NaN,NaN
AN221026,8,pretrain,1,3,bkbg0104,Children like strawberries,Children,like,strawberries,NA,1642.666667,bkbg0104_4ch.wav,NaN,NaN,NaN,NaN
AN221026,9,pretrain,1,3,bkbg0713,The girl has a picture book,girl,picture,book,NA,1578.666667,bkbg0713_4ch.wav,NaN,NaN,NaN,NaN
AN221026,10,pretrain,1,3,aslg1213,The new teacher's nice,new,teachers,nice,NA,1632.979167,aslg1213_4ch.wav,NaN,NaN,NaN,NaN
AN221026,11,pretrain,1,3,aslg1112,The clothes are covered in mud,clothes,covered,mud,NA,1742.583333,aslg1112_4ch.wav,NaN,NaN,NaN,NaN
AN221026,12,pretrain,1,3,bkbg1010,They’re cycling along,Theyre,cycling,along,NA,1237.333333,bkbg1010_4ch.wav,NaN,NaN,NaN,NaN
AN221026,13,pretrain,2,1,bkbg0315,The room's getting cold,rooms,getting,cold,NA,1440,bkbg0315_8ch.wav,1.75776593466758,0,2.25687644968012,0.97236777127013
AN221026,14,pretrain,2,1,bkbg1410,The big fish got away,big,fish,got,away,1578.666667,bkbg1410_8ch.wav,0.785398163397448,1,0.949076681339235,0
AN221026,15,pretrain,2,1,aslg0909,She's sewing on a button,Shes,sewing,button,NA,1461.333333,aslg0909_8ch.wav,0.785398163397448,1,0.650150794939374,0
AN221026,16,pretrain,2,1,bkbg1009,The postman brings a letter,postman,brings,letter,NA,1482.666667,bkbg1009_8ch.wav,-0.186829366450549,0,-0.997948675968114,-0.972227529847998
AN221026,17,pretrain,2,3,bkbg2111,He frightened his sister,He,frightened,sister,NA,1312,bkbg2111_4ch.wav,1.62358948264932,0,-2.16996104066565,0.838191319251869
AN221026,18,pretrain,2,3,aslg0303,He hid his money,He,hid,money,NA,1146.625,aslg0303_4ch.wav,0.785398163397448,1,0.203160653898107,0
AN221026,19,pretrain,2,3,bkbg0604,Men wear long trousers,Men,wear,long,trousers,1642.666667,bkbg0604_4ch.wav,-0.243805656013435,0,3.12667827060327,-1.02920381941088
AN221026,20,pretrain,2,3,aslg0108,The bull chased the lady,bull,chased,lady,NA,1728,aslg0108_4ch.wav,0.785398163397448,1,-1.27909414530825,0
AN221026,21,pretrain,2,4,aslg0105,The cat played with some wool,cat,played,wool,NA,1792,aslg0105_4ch.wav,0.662236127565972,0,2.98995020784966,-0.123162035831476
AN221026,22,pretrain,2,4,aslg1815,The biscuit tin was empty,biscuit,tin,empty,NA,1834.666667,aslg1815_4ch.wav,0.895611991124568,0,-1.41261821642108,0.11021382772712
AN221026,23,pretrain,2,4,bkbg0608,The father's coming home,fathers,coming,home,NA,1578.666667,bkbg0608_4ch.wav,0.785398163397448,1,-2.44526597441701,0
AN221026,24,pretrain,2,4,aslg1101,The lady cut her finger,lady,cut,finger,NA,1504,aslg1101_4ch.wav,0.785398163397448,1,3.08301847519473,0
AN221026,25,pretrain,2,2,bkbg1013,The shirts hang in the cupboard,shirts,hang,cupboard,NA,1568,bkbg1013_8ch.wav,0.546697201488002,0,-1.57504032588294,-0.238700961909446
AN221026,26,pretrain,2,2,bkbg1703,The sky was very blue,sky,very,blue,NA,1589.333333,bkbg1703_8ch.wav,0.785398163397448,1,-0.24111536763812,0
AN221026,27,pretrain,2,2,aslg1713,The boy grazed his knee,boy,grazed,knee,NA,1482.666667,aslg1713_8ch.wav,0.984702887212299,0,1.22611420373695,0.199304723814851
AN221026,28,pretrain,2,2,bkbg0404,A boy ran down the path,boy,ran,path,NA,1770.666667,bkbg0404_8ch.wav,0.785398163397448,1,-2.5190213159009,0
AN221026,29,main,3,4,bkbg2110,The egg cups are on the table,egg,cups,table,NA,1600,bkbg2110_4ch.wav,0.785398163397448,1,-1.77144139734671,0
AN221026,30,main,3,4,aslg1715,They helped with the dishes,They,helped,dishes,NA,1461.333333,aslg1715_4ch.wav,0.896792921498855,0,1.65449038075391,0.111394758101406
AN221026,31,main,3,4,bkbg0802,A friend came for lunch,friend,came,lunch,NA,1621.333333,bkbg0802_4ch.wav,0.905773049377365,0,0.394475682282109,0.120374885979917
AN221026,32,main,3,4,bkbg0602,The mother stirs the tea,mother,stirs,tea,NA,1546.666667,bkbg0602_4ch.wav,0.785398163397448,1,-0.322459368036234,0
AN221026,33,main,3,2,bkbg0116,The ice cream was pink,ice,cream,pink,NA,1738.666667,bkbg0116_8ch.wav,0.972899093531845,0,1.78999935908048,0.187500930134396
