Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD,SentencePresence,WavfileDir,TriggerFixFlipTime,TriggerFixFlipEnd,FixFlipTime,FixFlipEnd,FixClearFlipTime,FixClearFlipEnd,DurAudOnset,StimAudOnset,StimAudFlipTime,StimHSOnset,StimHSFlipTime,StimHSFlipEnd,DurGbOnset,StimGbOnset,StimGbFlipTime,StimGbFlipEnd,GbClearFlipTime,GbClearFlipEnd,HSClearFlipTime,HSClearFlipEnd,endAudPositionSecs,estAudStopTime,Resp1PrmptTime,Resp1FlipTime,Resp1FlipEnd,Resp1ScrClearTime,Resp1ClearFlipTime,Resp1ClearFlipEnd,Resp2FlipTime,Resp2FlipEnd,Resp2ScrClearTime,TrialDuration,EndPromptFlipTime,EndPromptFlipEnd,SentenceOnset,SentenceFlipTime,SentenceFlipEnd,RunStartTime,BlockStartTime,BlockEndTime,BlockDur,RunDur,RunEndTime,RespAud,AccAud,RtAbsAud,RTAud,RespGb,AccGb,RtAbsGb,RTGb,RespMemory,AccMemory,RtAbsMemory,RTMemory
CB221005,1,pretrain,1,3,aslg1808,The farmer sowed some seeds,farmer,sowed,seeds,NA,1824,aslg1808_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\aslg1808_4ch.wav,NaN,NaN,1479248.2017636,1479248.2017848,0.201298099942505,0.201319499872625,NaN,1479248.3230617,0.301086699822918,1479248.4030617,0.328678099904209,0.328704699873924,NaN,NaN,NaN,NaN,NaN,NaN,2.12675899988972,2.12682049977593,1.81,1479250.3405067,1479250.3285226,2.39077209983952,2.39080379996449,1479252.0925357,3.89223349979147,3.89226059988141,NaN,NaN,NaN,3.9144104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,9999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CB221005,2,pretrain,1,3,aslg1607,The puppy chased the ball,puppy,chased,ball,NA,1322.666667,aslg1607_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\aslg1607_4ch.wav,NaN,NaN,1479252.1118205,1479252.1118508,0.202232099836692,0.202295199967921,NaN,1479252.2340526,0.331270499853417,1479252.3140526,0.349955899873748,0.349987800000235,NaN,NaN,NaN,NaN,NaN,NaN,1.65512909996323,1.65515179978684,1.32,1479253.7788116,1479253.7669496,1.69401809992269,1.69405339984223,1479255.3058386,3.19551249989308,3.19553309981711,NaN,NaN,NaN,3.2094412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,9999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CB221005,3,pretrain,1,3,bkbg2008,They sat on a wooden bench,They,sat,wooden,bench,1738.666667,bkbg2008_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg2008_4ch.wav,NaN,NaN,1479255.3254581,1479255.3254946,0.202204899862409,0.202278799843043,NaN,1479255.447663,0.327831199858338,1479255.527663,0.351738899946213,0.351765000028536,NaN,NaN,NaN,NaN,NaN,NaN,2.0681820998434,2.06826590001583,1.73,1479257.4120192,1479257.3936402,2.11780639993958,2.11783949984238,1479258.9432645,3.61948619992472,3.6195467999205,NaN,NaN,NaN,3.6337958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1479258.5160206,1.07275609998032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CB221005,4,pretrain,1,3,bkbg1610,The driver lost his way,driver,lost,way,NA,1450.666667,bkbg1610_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg1610_4ch.wav,NaN,NaN,1479258.9723917,1479258.9725428,0.201962500112131,0.201987400185317,NaN,1479259.0943542,0.336116100195795,1479259.1743542,0.363730499986559,0.36375920008868,NaN,NaN,NaN,NaN,NaN,NaN,1.78852110006846,1.78858839999884,1.44,1479260.780044,1479260.7609128,1.83601950015873,1.83605220005848,1479262.3084112,3.33754990017042,3.33757110009901,NaN,NaN,NaN,3.35219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1479261.3048972,0.496486000018194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CB221005,5,pretrain,1,3,bkbg1415,The grass is getting long,grass,getting,long,NA,1600,bkbg1415_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg1415_4ch.wav,NaN,NaN,1479262.3356523,1479262.3356837,0.20169710018672,0.201719400007278,NaN,1479262.4573494,0.306365499971434,1479262.5373494,0.337720700073987,0.337747000157833,NaN,NaN,NaN,NaN,NaN,NaN,1.9079856001772,1.90801290003583,1.59,1479264.2661057,1479264.2436379,1.95197210018523,1.95200589997694,1479265.7876244,3.45404970017262,3.45412060013041,NaN,NaN,NaN,3.4722435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1479264.9112675,0.623643099796027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CB221005,6,pretrain,1,3,bkbg1407,They broke all the eggs,They,broke,all,eggs,1376,bkbg1407_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg1407_4ch.wav,NaN,NaN,1479265.8156874,1479265.8157173,0.202111199963838,0.202174099860713,NaN,1479265.9377986,0.324346399866045,1479266.0177986,0.353053000057116,0.353083600057289,NaN,NaN,NaN,NaN,NaN,NaN,1.70190549991094,1.70192719995975,1.36,1479267.5343332,1479267.5175929,1.73789180000313,1.73792449990287,1479269.0535792,3.23938769986853,3.23940999992192,NaN,NaN,NaN,3.2549961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1479268.1736187,0.620039499830455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CB221005,7,pretrain,1,1,bkbg0505,The kitchen sink's empty,kitchen,sink,empty,NA,1749.333333,bkbg0505_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg0505_8ch.wav,NaN,NaN,1479269.0792678,1479269.079304,0.201788699952886,0.201810299884528,NaN,1479269.2010565,0.298940700013191,1479269.2810565,0.324835499981418,0.324859599815682,NaN,NaN,NaN,NaN,NaN,NaN,2.05011229985394,2.0501366998069,1.74,1479271.1459656,1479271.1293801,2.08435539994389,2.08438799995929,1479272.6636232,3.58607119997032,3.58614049991593,NaN,NaN,NaN,3.6018519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1479271.4621259,0.298502699937671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CB221005,8,pretrain,1,1,bkbg0902,The young boy left home,young,boy,left,home,1546.666667,bkbg0902_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg0902_8ch.wav,NaN,NaN,1479272.6928315,1479272.6929808,0.201911899959669,0.201948200119659,NaN,1479272.8147434,0.306960599962622,1479272.8947434,0.33176190010272,0.331785900052637,NaN,NaN,NaN,NaN,NaN,NaN,1.85532530001365,1.85539190005511,1.54,1479274.5685462,1479274.5481568,1.89387309993617,1.89390429994091,1479276.0867046,3.3955633000005,3.39558609994128,NaN,NaN,NaN,3.4098759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,9999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CB221005,9,pretrain,1,1,aslg0602,He reached for a cup,He,reached,cup,NA,1301.333333,aslg0602_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\aslg0602_8ch.wav,NaN,NaN,1479276.1059534,1479276.1059831,0.20211170008406,0.202172399964184,NaN,1479276.2280651,0.314668799983338,1479276.3080651,0.339626499917358,0.339651399990544,NaN,NaN,NaN,NaN,NaN,NaN,1.61778429988772,1.61789479991421,1.29,1479277.7352748,1479277.7237377,1.65273429988883,1.65276689990424,1479279.2586877,3.15431610005908,3.15433709998615,NaN,NaN,NaN,3.1678026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1479278.1525054,0.393817699979991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CB221005,10,pretrain,1,1,bkbg0406,She spoke to her son,She,spoke,to,son,1397.333333,bkbg0406_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg0406_8ch.wav,NaN,NaN,1479279.2864357,1479279.2864658,0.201682399958372,0.201725499937311,NaN,1479279.4081181,0.3143213998992,1479279.4881181,0.334032299928367,0.334069699980319,NaN,NaN,NaN,NaN,NaN,NaN,1.71297669992782,1.71305039990693,1.39733333333333,1479281.01471613,1479280.9994124,1.74546039989218,1.74549190001562,1479282.5318961,3.24680279986933,3.24685280001722,NaN,NaN,NaN,3.2626941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1479281.8693345,0.837438400136307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
