Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD
DB221102,1,pretrain,1,1,aslg0603,The lady was quite cross,lady,quite,cross,NA,1728,aslg0603_8ch.wav,NaN,NaN,NaN,NaN
DB221102,2,pretrain,1,1,aslg0406,The horse stands by the gate,horse,stands,gate,NA,1920,aslg0406_8ch.wav,NaN,NaN,NaN,NaN
DB221102,3,pretrain,1,1,bkbg1716,The dog chased the cat,dog,chased,cat,NA,1418.666667,bkbg1716_8ch.wav,NaN,NaN,NaN,NaN
DB221102,4,pretrain,1,1,aslg1806,They're living by the sea,Theyre,living,sea,NA,1674.666667,aslg1806_8ch.wav,NaN,NaN,NaN,NaN
DB221102,5,pretrain,1,1,aslg0203,She brought her camera,She,brought,camera,NA,1450.666667,aslg0203_8ch.wav,NaN,NaN,NaN,NaN
DB221102,6,pretrain,1,1,aslg0801,The girl sharpened her pencil,girl,sharpened,pencil,NA,1766.354167,aslg0801_8ch.wav,NaN,NaN,NaN,NaN
DB221102,7,pretrain,1,3,aslg1301,The story's very exciting,storys,very,exciting,NA,1888,aslg1301_4ch.wav,NaN,NaN,NaN,NaN
DB221102,8,pretrain,1,3,aslg0611,The leaves dropped from the trees,leaves,dropped,trees,NA,1966.166667,aslg0611_4ch.wav,NaN,NaN,NaN,NaN
DB221102,9,pretrain,1,3,bkbg0912,The lady packed her bag,lady,packed,bag,NA,1546.666667,bkbg0912_4ch.wav,NaN,NaN,NaN,NaN
DB221102,10,pretrain,1,3,bkbg0214,The little baby sleeps,little,baby,sleeps,NA,1610.666667,bkbg0214_4ch.wav,NaN,NaN,NaN,NaN
DB221102,11,pretrain,1,3,aslg0715,The young mother's shopping,young,mothers,shopping,NA,1717.333333,aslg0715_4ch.wav,NaN,NaN,NaN,NaN
DB221102,12,pretrain,1,3,bkbg0111,The bag bumps on the ground,bag,bumps,ground,NA,1920,bkbg0111_4ch.wav,NaN,NaN,NaN,NaN
DB221102,13,pretrain,2,4,bkbg1701,The apple pie's cooking,apple,pies,cooking,NA,1504,bkbg1701_4ch.wav,0.90577523432862,0,2.32593115477833,0.120377070931172
DB221102,14,pretrain,2,4,aslg0911,The yellow bananas are ripe,yellow,bananas,ripe,NA,1642.854167,aslg0911_4ch.wav,0.785398163397448,1,-1.71418851819575,0
DB221102,15,pretrain,2,4,aslg1305,The woman used her key,woman,used,key,NA,1856,aslg1305_4ch.wav,0.785398163397448,1,-0.73958384721333,0
DB221102,16,pretrain,2,4,bkbg1611,They stared at the picture,They,stared,picture,NA,1333.333333,bkbg1611_4ch.wav,0.580151749619262,0,-3.12220139813813,-0.205246413778186
DB221102,17,pretrain,2,1,bkbg2103,A girl came into the room,girl,came,room,NA,1696,bkbg2103_8ch.wav,0.785398163397448,1,-3.06242762895159,0
DB221102,18,pretrain,2,1,aslg0313,They picked some raspberries,They,picked,raspberries,NA,1866.666667,aslg0313_8ch.wav,1.72119981252325,0,-1.70196206899769,0.9358016491258
DB221102,19,pretrain,2,1,aslg1605,The hill was very steep,hill,very,steep,NA,1578.666667,aslg1605_8ch.wav,1.77924683955108,0,-0.0573547610040746,0.993848676153628
DB221102,20,pretrain,2,1,bkbg1914,The girl held a mirror,girl,held,mirror,NA,1354.666667,bkbg1914_8ch.wav,0.785398163397448,1,-0.233074845749655,0
DB221102,21,pretrain,2,3,aslg0707,The driver hooted his horn,driver,hooted,horn,NA,1813.333333,aslg0707_4ch.wav,-0.157788057987091,0,0.193862494381063,-0.943186221384539
DB221102,22,pretrain,2,3,bkbg0903,They’re climbing the tree,Theyre,climbing,tree,NA,1354.666667,bkbg0903_4ch.wav,0.785398163397448,1,-2.39866809023792,0
DB221102,23,pretrain,2,3,bkbg1105,The driver waits by the corner,driver,waits,corner,NA,1621.333333,bkbg1105_4ch.wav,-0.0662069200478763,0,-0.00981114742535865,-0.851605083445325
DB221102,24,pretrain,2,3,aslg0803,The puppy licked his master,puppy,licked,master,NA,1653.333333,aslg0803_4ch.wav,0.785398163397448,1,1.73570906932144,0
