Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD,SentencePresence,WavfileDir,TriggerFixFlipTime,TriggerFixFlipEnd,FixFlipTime,FixFlipEnd,FixClearFlipTime,FixClearFlipEnd,DurAudOnset,StimAudOnset,StimAudFlipTime,StimHSOnset,StimHSFlipTime,StimHSFlipEnd,DurGbOnset,StimGbOnset,StimGbFlipTime,StimGbFlipEnd,GbClearFlipTime,GbClearFlipEnd,HSClearFlipTime,HSClearFlipEnd,endAudPositionSecs,estAudStopTime,Resp1PrmptTime,Resp1FlipTime,Resp1FlipEnd,Resp1ScrClearTime,Resp1ClearFlipTime,Resp1ClearFlipEnd,Resp2FlipTime,Resp2FlipEnd,Resp2ScrClearTime,TrialDuration,EndPromptFlipTime,EndPromptFlipEnd,SentenceOnset,SentenceFlipTime,SentenceFlipEnd,RunStartTime,BlockStartTime,BlockEndTime,BlockDur,RunDur,RunEndTime,RespAud,AccAud,RtAbsAud,RTAud,RespGb,AccGb,RtAbsGb,RTGb,RespMemory,AccMemory,RtAbsMemory,RTMemory
DP221007,1,pretrain,1,3,bkbg0303,The kettle's quite hot,kettles,quite,hot,NA,1621.333333,bkbg0303_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_4_221006_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg0303_4ch.wav,NaN,NaN,1659522.3444076,1659522.3444438,0.201584000140429,0.201639500213787,NaN,1659522.4659916,0.32465530000627,1659522.5459916,0.359492500079796,0.359516700031236,NaN,NaN,NaN,NaN,NaN,NaN,1.94722920004278,1.94726000004448,1.6,1659524.3082176,1659524.2916368,2.11287270020694,2.11290260008536,1659525.9572803,3.61408940004185,3.61411890015006,NaN,NaN,NaN,3.6305288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1659525.4867053,1.02942499984056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DP221007,2,pretrain,1,3,bkbg1902,Sugar's very sweet,Sugars,very,sweet,NA,1472,bkbg1902_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_4_221006_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg1902_4ch.wav,NaN,NaN,1659525.9829922,1659525.9830265,0.20163629995659,0.201665499946102,NaN,1659526.1046285,0.312178099993616,1659526.1846285,0.336754000047222,0.336790800094604,NaN,NaN,NaN,NaN,NaN,NaN,1.78543550008908,1.78546539996751,1.46,1659527.7824157,1659527.7684277,1.81613610009663,1.81616910011508,1659529.2991283,3.31735619995743,3.31738690007478,NaN,NaN,NaN,3.3333515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1659528.7122688,0.913140499964356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DP221007,3,pretrain,1,3,bkbg2104,They’re pushing an old car,Theyre,pushing,old,car,1578.666667,bkbg2104_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_4_221006_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg2104_4ch.wav,NaN,NaN,1659529.3298133,1659529.3298519,0.201689900131896,0.201730000087991,NaN,1659529.4515032,0.315846800105646,1659529.5315032,0.33865230018273,0.338682200061157,NaN,NaN,NaN,NaN,NaN,NaN,1.89582380000502,1.89586120005697,1.57,1659531.2405075,1659531.2256371,1.9272485000547,1.9272819000762,1659532.7570618,3.42877690005116,3.42879729997367,NaN,NaN,NaN,3.4447895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1659531.4371487,0.18008690001443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DP221007,4,pretrain,1,3,bkbg0410,Some animals sleep on straw,animals,sleep,on,straw,1962.666667,bkbg0410_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_4_221006_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg0410_4ch.wav,NaN,NaN,1659532.7765392,1659532.7765681,0.202108100056648,0.202168999938294,NaN,1659532.8986473,0.315656400052831,1659532.9786473,0.344401400070637,0.344424800015986,NaN,NaN,NaN,NaN,NaN,NaN,2.27995719993487,2.28002770012245,1.95,1659535.0697466,1659535.0564964,2.31423419993371,2.3142746000085,1659536.5907734,3.81604170007631,3.81614269991405,NaN,NaN,NaN,3.8302076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1659535.9916076,0.900834199972451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DP221007,5,pretrain,1,3,bkbg0807,The ball broke the window,ball,broke,window,NA,1706.666667,bkbg0807_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_4_221006_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg0807_4ch.wav,NaN,NaN,1659536.622968,1659536.6229966,0.202137300046161,0.202199200168252,NaN,1659536.7451053,0.321136500220746,1659536.8251053,0.35215779999271,0.352184200193733,NaN,NaN,NaN,NaN,NaN,NaN,2.0291109001264,2.02913120016456,1.69,1659538.6595671,1659538.6520789,2.05677520018071,2.05680500017479,1659540.1797432,3.55830660020001,3.55835040006787,NaN,NaN,NaN,3.5737061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1659539.2960401,0.616296899970621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DP221007,6,pretrain,1,3,bkbg2002,They’re going out,Theyre,going,out,NA,1034.666667,bkbg2002_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_4_221006_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg2002_4ch.wav,NaN,NaN,1659540.2031438,1659540.2031979,0.201568900141865,0.201590300071985,NaN,1659540.3247127,0.278633000096306,1659540.4047127,0.306595399975777,0.306618200149387,NaN,NaN,NaN,NaN,NaN,NaN,1.3150330001954,1.31509630009532,1.02,1659541.5316817,1659541.5181768,1.34602970001288,1.34606150002219,1659543.0491735,2.84777320013382,2.84784390009008,NaN,NaN,NaN,2.8603227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1659542.180055,0.630881499964744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DP221007,7,pretrain,1,1,bkbg0706,Mother fetches a saucepan,Mother,fetches,saucepan,NA,1642.666667,bkbg0706_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_4_221006_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg0706_8ch.wav,NaN,NaN,1659543.0838041,1659543.0838905,0.201979799894616,0.202048899838701,NaN,1659543.2057839,0.306558399926871,1659543.2857839,0.327496899990365,0.327519800048321,NaN,NaN,NaN,NaN,NaN,NaN,1.95101849990897,1.95108559983782,1.63,1659545.0469992,1659545.0348226,1.98401669994928,1.98405289999209,1659546.5678208,3.4855694998987,3.48558999993838,NaN,NaN,NaN,3.4995516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1659545.9577569,0.889936099993065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DP221007,8,pretrain,1,1,bkbg0213,Some sticks were under the tree,sticks,under,tree,NA,1941.333333,bkbg0213_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_4_221006_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg0213_8ch.wav,NaN,NaN,1659546.5969864,1659546.5970166,0.201720500132069,0.201741399941966,NaN,1659546.7187069,0.30342090013437,1659546.7987069,0.335324299987406,0.335346400039271,NaN,NaN,NaN,NaN,NaN,NaN,2.2464852000121,2.24655100004748,1.93,1659548.8627239,1659548.8434716,2.28408050001599,2.28411250002682,1659550.3810669,3.78578669996932,3.78584640007466,NaN,NaN,NaN,3.801673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1659549.5558301,0.674763200106099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DP221007,9,pretrain,1,1,bkbg0502,The matches lie on the shelf,matches,lie,shelf,NA,1749.333333,bkbg0502_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_4_221006_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg0502_8ch.wav,NaN,NaN,1659550.4103773,1659550.4104495,0.201781099895015,0.201848199823871,NaN,1659550.5321584,0.307069899979979,1659550.6121584,0.329089199891314,0.329110299935564,NaN,NaN,NaN,NaN,NaN,NaN,2.05813699983992,2.05820399988443,1.74,1659552.4836741,1659552.4685143,2.09187599993311,2.0919067999348,1659554.0022533,3.59328979998827,3.59331059991382,NaN,NaN,NaN,3.6076699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1659552.8437909,0.341537599917501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DP221007,10,pretrain,1,1,aslg1009,They came at Easter,They,came,Easter,NA,1597.4375,aslg1009_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_4_221006_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\aslg1009_8ch.wav,NaN,NaN,1659554.0233474,1659554.0233783,0.202043800149113,0.202105300035328,NaN,1659554.1453912,0.314780400134623,1659554.2253912,0.344132200116292,0.344154300168157,NaN,NaN,NaN,NaN,NaN,NaN,1.91362900007516,1.91365750017576,1.58,1659555.9544002,1659555.9369764,1.94784420006908,1.94787870021537,1659557.4711916,3.45065870019607,3.45072550000623,NaN,NaN,NaN,3.4663493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1659556.1818893,0.21069770003669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
