Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD
DP221102,1,pretrain,1,1,aslg1410,The sun came out,sun,came,out,NA,1184,aslg1410_8ch.wav,NaN,NaN,NaN,NaN
DP221102,2,pretrain,1,1,bkbg1101,The sweet shop was empty,sweet,shop,empty,NA,1418.666667,bkbg1101_8ch.wav,NaN,NaN,NaN,NaN
DP221102,3,pretrain,1,1,aslg0406,The horse stands by the gate,horse,stands,gate,NA,1920,aslg0406_8ch.wav,NaN,NaN,NaN,NaN
DP221102,4,pretrain,1,1,aslg1215,They're going to the seaside,Theyre,going,seaside,NA,1525.333333,aslg1215_8ch.wav,NaN,NaN,NaN,NaN
DP221102,5,pretrain,1,1,aslg0813,He dug with his spade,He,dug,spade,NA,1525.333333,aslg0813_8ch.wav,NaN,NaN,NaN,NaN
DP221102,6,pretrain,1,1,aslg0509,The apple pie was hot,apple,pie,hot,NA,1482.666667,aslg0509_8ch.wav,NaN,NaN,NaN,NaN
DP221102,7,pretrain,1,3,bkbg2003,The football hit the goalpost,football,hit,goalpost,NA,1824,bkbg2003_4ch.wav,NaN,NaN,NaN,NaN
DP221102,8,pretrain,1,3,aslg1115,They tied the rope,They,tied,rope,NA,1397.333333,aslg1115_4ch.wav,NaN,NaN,NaN,NaN
DP221102,9,pretrain,1,3,bkbg1102,The dogs go for a walk,dogs,go,walk,NA,1557.333333,bkbg1102_4ch.wav,NaN,NaN,NaN,NaN
DP221102,10,pretrain,1,3,bkbg1202,The girl's washing her hair,girls,washing,hair,NA,1600,bkbg1202_4ch.wav,NaN,NaN,NaN,NaN
DP221102,11,pretrain,1,3,bkbg1510,Flowers grow in the garden,Flowers,grow,garden,NA,1578.666667,bkbg1510_4ch.wav,NaN,NaN,NaN,NaN
DP221102,12,pretrain,1,3,aslg1102,The horses stood under the tree,horses,stood,tree,NA,1774.333333,aslg1102_4ch.wav,NaN,NaN,NaN,NaN
DP221102,13,pretrain,2,1,bkbg1310,The big dog was dangerous,big,dog,dangerous,NA,1578.666667,bkbg1310_8ch.wav,1.79524080969088,0,2.09444612081663,1.00984264629343
DP221102,14,pretrain,2,1,bkbg1316,The lorry climbed the hill,lorry,climbed,hill,NA,1440,bkbg1316_8ch.wav,0.785398163397448,1,2.06483788700731,0
DP221102,15,pretrain,2,1,bkbg0701,The children dropped the bag,children,dropped,bag,NA,1728,bkbg0701_8ch.wav,-0.162526850444211,0,-1.72196797385427,-0.947925013841659
DP221102,16,pretrain,2,1,bkbg1901,The family like fish,family,like,fish,NA,1504,bkbg1901_8ch.wav,0.785398163397448,1,0.555044356496348,0
DP221102,17,pretrain,2,4,aslg1006,The paper boy was cheeky,paper,boy,cheeky,NA,1834.666667,aslg1006_4ch.wav,0.785398163397448,1,1.6140328536804,0
DP221102,18,pretrain,2,4,aslg1304,Mother served the soup,Mother,served,soup,NA,1589.333333,aslg1304_4ch.wav,1.06799298038886,0,-1.42938447191612,0.282594816991407
DP221102,19,pretrain,2,4,aslg1411,He's starting the engine,Hes,starting,engine,NA,1440,aslg1411_4ch.wav,0.785398163397448,1,1.28651838152684,0
DP221102,20,pretrain,2,4,bkbg1709,They had some jam pudding,They,jam,pudding,NA,1397.333333,bkbg1709_4ch.wav,0.511332607668042,0,0.766023736246012,-0.274065555729406
DP221102,21,pretrain,2,3,aslg0214,The picture hung on the wall,picture,hung,wall,NA,1674.666667,aslg0214_4ch.wav,0.785398163397448,1,-2.32451287114222,0
DP221102,22,pretrain,2,3,bkbg1512,The daughter laid the table,daughter,laid,table,NA,1472,bkbg1512_4ch.wav,1.80139892917723,0,0.598230632810782,1.01600076577978
