Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD
EL221026,1,pretrain,1,1,aslg0609,The other team won,other,team,won,NA,1397.333333,aslg0609_8ch.wav,NaN,NaN,NaN,NaN
EL221026,2,pretrain,1,1,bkbg0702,The dog came back,dog,came,back,NA,1376,bkbg0702_8ch.wav,NaN,NaN,NaN,NaN
EL221026,3,pretrain,1,1,aslg1307,The pears were too hard,pears,too,hard,NA,1450.666667,aslg1307_8ch.wav,NaN,NaN,NaN,NaN
EL221026,4,pretrain,1,1,aslg0407,They're heading for the park,Theyre,heading,park,NA,1568,aslg0407_8ch.wav,NaN,NaN,NaN,NaN
EL221026,5,pretrain,1,1,aslg1501,The red bus was late,red,bus,late,NA,1312,aslg1501_8ch.wav,NaN,NaN,NaN,NaN
EL221026,6,pretrain,1,1,aslg0811,The old fox was sly,old,fox,sly,NA,1903.291667,aslg0811_8ch.wav,NaN,NaN,NaN,NaN
EL221026,7,pretrain,1,3,aslg0307,The new shoes were tight,new,shoes,tight,NA,1941.333333,aslg0307_4ch.wav,NaN,NaN,NaN,NaN
EL221026,8,pretrain,1,3,bkbg1404,Mother opens the drawer,Mother,opens,drawer,NA,1418.666667,bkbg1404_4ch.wav,NaN,NaN,NaN,NaN
EL221026,9,pretrain,1,3,bkbg1713,The milkman carried the cream,milkman,carried,cream,NA,1802.666667,bkbg1713_4ch.wav,NaN,NaN,NaN,NaN
EL221026,10,pretrain,1,3,aslg1814,The floor was quite slippery,floor,quite,slippery,NA,1568,aslg1814_4ch.wav,NaN,NaN,NaN,NaN
EL221026,11,pretrain,1,3,bkbg0506,A boy fell from the window,boy,fell,window,NA,1845.333333,bkbg0506_4ch.wav,NaN,NaN,NaN,NaN
EL221026,12,pretrain,1,3,aslg1601,They did their homework,They,did,homework,NA,1098.666667,aslg1601_4ch.wav,NaN,NaN,NaN,NaN
EL221026,13,pretrain,2,2,aslg1212,The children carried the suitcase,children,carried,suitcase,NA,1939.3125,aslg1212_8ch.wav,0.785398163397448,1,-1.43143736445973,0
EL221026,14,pretrain,2,2,bkbg1804,He’s skating with his friend,Hes,skating,with,friend,1664,bkbg1804_8ch.wav,0.506413824993846,0,-0.969571330765976,-0.278984338403602
EL221026,15,pretrain,2,2,aslg0103,He hit his head,He,hit,head,NA,1098.666667,aslg0103_8ch.wav,0.607246044821377,0,2.25633200713218,-0.178152118576072
EL221026,16,pretrain,2,2,bkbg0309,The milk came in a bottle,milk,came,bottle,NA,1653.333333,bkbg0309_8ch.wav,0.785398163397448,1,-2.99799696645663,0
EL221026,17,pretrain,2,4,aslg1710,The father signed a letter,father,signed,letter,NA,1621.333333,aslg1710_4ch.wav,0.566050292688156,0,-1.54103433543646,-0.219347870709292
EL221026,18,pretrain,2,4,aslg0906,The man shaved with a razor,man,shaved,razor,NA,1834.666667,aslg0906_4ch.wav,0.785398163397448,1,-0.643122903809569,0
