Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD
FN221026,1,pretrain,1,1,aslg1204,The other team are losing,other,team,losing,NA,1962.666667,aslg1204_8ch.wav,NaN,NaN,NaN,NaN
FN221026,2,pretrain,1,1,aslg0805,The family's having a picnic,familys,having,picnic,NA,1813.333333,aslg0805_8ch.wav,NaN,NaN,NaN,NaN
FN221026,3,pretrain,1,1,bkbg1115,A fish lay on the plate,fish,lay,plate,NA,1621.333333,bkbg1115_8ch.wav,NaN,NaN,NaN,NaN
FN221026,4,pretrain,1,1,aslg1809,The east wind was cold,east,wind,cold,NA,1728,aslg1809_8ch.wav,NaN,NaN,NaN,NaN
FN221026,5,pretrain,1,1,aslg1103,Mother's talking to the milkman,Mothers,talking,milkman,NA,1608.166667,aslg1103_8ch.wav,NaN,NaN,NaN,NaN
FN221026,6,pretrain,1,1,bkbg1703,The sky was very blue,sky,very,blue,NA,1589.333333,bkbg1703_8ch.wav,NaN,NaN,NaN,NaN
FN221026,7,pretrain,1,3,aslg1712,The loud noise was sudden,loud,noise,sudden,NA,1630.895833,aslg1712_4ch.wav,NaN,NaN,NaN,NaN
FN221026,8,pretrain,1,3,aslg0104,The yellow leaves are falling,yellow,leaves,falling,NA,1760,aslg0104_4ch.wav,NaN,NaN,NaN,NaN
FN221026,9,pretrain,1,3,bkbg1401,The angry man shouted,angry,man,shouted,NA,1587.645833,bkbg1401_4ch.wav,NaN,NaN,NaN,NaN
FN221026,10,pretrain,1,3,aslg0510,The ship sailed up the river,ship,sailed,river,NA,1706.666667,aslg0510_4ch.wav,NaN,NaN,NaN,NaN
FN221026,11,pretrain,1,3,bkbg0910,They went on holiday,They,went,holiday,NA,1269.333333,bkbg0910_4ch.wav,NaN,NaN,NaN,NaN
FN221026,12,pretrain,1,3,aslg0205,The salt cellar's full,salt,cellars,full,NA,1312,aslg0205_4ch.wav,NaN,NaN,NaN,NaN
FN221026,13,pretrain,2,1,aslg0715,The young mother's shopping,young,mothers,shopping,NA,1717.333333,aslg0715_8ch.wav,0.785398163397448,1,1.06919008671719,0
FN221026,14,pretrain,2,1,bkbg2005,The teacloth's quite wet,teacloths,quite,wet,NA,1578.666667,bkbg2005_8ch.wav,1.71898262400807,0,2.08911964591023,0.933584460610618
FN221026,15,pretrain,2,1,bkbg2110,The egg cups are on the table,egg,cups,table,NA,1600,bkbg2110_8ch.wav,0.785398163397448,1,-0.976848091600188,0
FN221026,16,pretrain,2,1,aslg0101,They moved the furniture,They,moved,furniture,NA,1440,aslg0101_8ch.wav,-0.136853464575721,0,2.13957645369102,-0.92225162797317
FN221026,17,pretrain,2,2,bkbg1914,The girl held a mirror,girl,held,mirror,NA,1354.666667,bkbg1914_8ch.wav,1.07079540705586,0,-1.65096745442177,0.285397243658414
