Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD,SentencePresence,WavfileDir,TriggerFixFlipTime,TriggerFixFlipEnd,FixFlipTime,FixFlipEnd,FixClearFlipTime,FixClearFlipEnd,DurAudOnset,StimAudOnset,StimAudFlipTime,StimHSOnset,StimHSFlipTime,StimHSFlipEnd,DurGbOnset,StimGbOnset,StimGbFlipTime,StimGbFlipEnd,GbClearFlipTime,GbClearFlipEnd,HSClearFlipTime,HSClearFlipEnd,endAudPositionSecs,estAudStopTime,Resp1PrmptTime,Resp1FlipTime,Resp1FlipEnd,Resp1ScrClearTime,Resp1ClearFlipTime,Resp1ClearFlipEnd,Resp2FlipTime,Resp2FlipEnd,Resp2ScrClearTime,TrialDuration,EndPromptFlipTime,EndPromptFlipEnd,SentenceOnset,SentenceFlipTime,SentenceFlipEnd,RunStartTime,BlockStartTime,BlockEndTime,BlockDur,RunDur,RunEndTime,RespAud,AccAud,RtAbsAud,RTAud,RespGb,AccGb,RtAbsGb,RTGb,RespMemory,AccMemory,RtAbsMemory,RTMemory
JA221024,1,pretrain,1,3,aslg0812,The baby lost his rattle,baby,lost,rattle,NA,1685.333333,aslg0812_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg0812_4ch.wav,NaN,NaN,86485.9362477,86485.9362631,0.201680300000589,0.201702700011083,NaN,86486.057928,0.648012200006633,86486.137928,0.656509699998423,0.656523400000879,NaN,NaN,NaN,NaN,NaN,NaN,2.33555920000072,2.33562440000242,1.68533333333333,86488.2812522333,86488.2718069,2.4067486999993,2.40677070000675,86489.8429964,3.90870900001028,3.90872310000123,NaN,NaN,NaN,3.9195509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,9999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JA221024,2,pretrain,1,3,aslg0403,She read her book,She,read,book,NA,1184,aslg0403_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg0403_4ch.wav,NaN,NaN,86489.871175,86489.8711991,0.202227600006154,0.20224810000218,NaN,86489.9934026,0.399275000003399,86490.0734026,0.404983500004164,0.404997800011188,NaN,NaN,NaN,NaN,NaN,NaN,1.58545800000138,1.58552210000926,1.184,86491.4605216,86491.456633,1.60619310000038,1.60621300000639,86492.9773681,3.10822520000511,3.10828290000791,NaN,NaN,NaN,3.1247769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,86492.434607,0.957238900009543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JA221024,3,pretrain,1,3,bkbg1502,The fire was very hot,fire,very,hot,NA,1482.666667,bkbg1502_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg1502_4ch.wav,NaN,NaN,86493.0038018,86493.0038328,0.202546000000439,0.202603300000192,NaN,86493.1263478,0.395222999999532,86493.2063478,0.402528199992958,0.402545799996005,NaN,NaN,NaN,NaN,NaN,NaN,1.87963179999497,1.87968529999489,1.48266666666667,86494.8905032667,86494.8834336,1.90227320000122,1.90231009999115,86496.406075,3.40439440000046,3.4044705999986,NaN,NaN,NaN,3.4193252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,86495.6789138,0.772838799995952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JA221024,4,pretrain,1,3,bkbg0204,The old gloves are dirty,old,gloves,dirty,NA,1504,bkbg0204_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg0204_4ch.wav,NaN,NaN,86496.4367647,86496.4367903,0.202538600002299,0.202603400000953,NaN,86496.5593033,0.381888699994306,86496.6393033,0.387730200003716,0.387745899992296,NaN,NaN,NaN,NaN,NaN,NaN,1.8879661999963,1.88803709999775,1.504,86498.3250603,86498.3247309,1.91799459999311,1.91801419999683,86499.8547593,3.41968829999678,3.41971190000186,NaN,NaN,NaN,3.4338764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,86499.1038197,0.749060400004964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JA221024,5,pretrain,1,3,aslg0707,The driver hooted his horn,driver,hooted,horn,NA,1813.333333,aslg0707_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg0707_4ch.wav,NaN,NaN,86499.88635,86499.8863751,0.202455099992221,0.202511700001196,NaN,86500.0088051,0.401564899992081,86500.0888051,0.410296200003359,0.410316800000146,NaN,NaN,NaN,NaN,NaN,NaN,2.2170696999965,2.21713309999905,1.81333333333333,86502.1058511333,86502.1034197,2.23912019999989,2.23913940000057,86503.6254702,3.74083949999476,3.74085780000314,NaN,NaN,NaN,3.7579243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,86502.6053913,0.479921100006322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JA221024,6,pretrain,1,3,aslg1602,The sister hurt her leg,sister,hurt,leg,NA,1578.666667,aslg1602_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg1602_4ch.wav,NaN,NaN,86503.652484,86503.6525116,0.202551800000947,0.202615699992748,NaN,86503.7750358,0.385471599991433,86503.8550358,0.390761299990118,0.390775099993334,NaN,NaN,NaN,NaN,NaN,NaN,1.96631889999844,1.96638539999549,1.57866666666667,86505.6197724667,86505.6188029,1.98556649999227,1.98558659999981,86507.1380505,3.48759900000005,3.4876624999888,NaN,NaN,NaN,3.5036416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,86506.135139,0.497088500007521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JA221024,7,pretrain,1,1,aslg1809,The east wind was cold,east,wind,cold,NA,1728,aslg1809_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg1809_8ch.wav,NaN,NaN,86507.1685988,86507.1686298,0.202714300001389,0.202772400007234,NaN,86507.2913131,0.372485300002154,86507.3713131,0.377601300002425,0.377614800003357,NaN,NaN,NaN,NaN,NaN,NaN,2.1021810000093,2.10220090000075,1.728,86509.2713267,86509.2707798,2.11768560000928,2.11770500001148,86510.7862844,3.61973930000386,3.61980349999794,NaN,NaN,NaN,3.6338883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,86509.7457018,0.459417399993981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JA221024,8,pretrain,1,1,bkbg1914,The girl held a mirror,girl,held,mirror,NA,1354.666667,bkbg1914_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg1914_8ch.wav,NaN,NaN,86510.8181041,86510.818135,0.202584799990291,0.202641999989282,NaN,86510.9406889,0.366437499993481,86511.0206889,0.371505399991293,0.371520199987572,NaN,NaN,NaN,NaN,NaN,NaN,1.7232093999919,1.72327319999749,1.35466666666667,86512.5486757667,86512.5413135,1.74579679999442,1.74581670000043,86514.0639009,3.24785429998883,3.24791729998833,NaN,NaN,NaN,3.2620341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,86512.9492137,0.385312800004613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JA221024,9,pretrain,1,1,aslg0613,The bird's building a nest,birds,building,nest,NA,1706.291667,aslg0613_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg0613_8ch.wav,NaN,NaN,86514.0844231,86514.0844528,0.202708299999358,0.20277130001341,NaN,86514.2071314,0.386393100008718,86514.2871314,0.391848500003107,0.391868900012923,NaN,NaN,NaN,NaN,NaN,NaN,2.09441780000634,2.09444150001218,1.70629166666667,86516.1793553667,86516.1788409,2.11983950001013,2.11985840000852,86517.7042626,3.62193730000581,3.62200080000912,NaN,NaN,NaN,3.6340221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,86516.5705327,0.366270099999383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JA221024,10,pretrain,1,1,bkbg1503,He’s sucking his thumb,Hes,sucking,thumb,NA,1280,bkbg1503_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg1503_8ch.wav,NaN,NaN,86517.7339315,86517.7339625,0.202576800002134,0.202633799999603,NaN,86517.8565083,0.377271599994856,86517.9365083,0.383409300004132,0.38342620000185,NaN,NaN,NaN,NaN,NaN,NaN,1.65893530000176,1.65895490000548,1.28,86519.3974518,86519.3928668,1.6793289000052,1.67934879999666,86520.9132604,3.18127489999461,3.18132329999935,NaN,NaN,NaN,3.1956665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,86520.7676631,1.35440270000254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
