Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD
JA221101,1,pretrain,1,1,aslg0510,The ship sailed up the river,ship,sailed,river,NA,1706.666667,aslg0510_8ch.wav,NaN,NaN,NaN,NaN
JA221101,2,pretrain,1,1,bkbg0109,The postman shut the gate,postman,shut,gate,NA,1728,bkbg0109_8ch.wav,NaN,NaN,NaN,NaN
JA221101,3,pretrain,1,1,bkbg0216,The school finished early,school,finished,early,NA,1610.666667,bkbg0216_8ch.wav,NaN,NaN,NaN,NaN
JA221101,4,pretrain,1,1,aslg1203,The girl broke a vase,girl,broke,vase,NA,1525.333333,aslg1203_8ch.wav,NaN,NaN,NaN,NaN
JA221101,5,pretrain,1,1,aslg0910,The horse kicked the rider,horse,kicked,rider,NA,1728,aslg0910_8ch.wav,NaN,NaN,NaN,NaN
JA221101,6,pretrain,1,1,aslg0113,Father's hiding the presents,Fathers,hiding,presents,NA,1877.333333,aslg0113_8ch.wav,NaN,NaN,NaN,NaN
JA221101,7,pretrain,1,3,aslg1314,The old man is leaving,old,man,leaving,NA,1632,aslg1314_4ch.wav,NaN,NaN,NaN,NaN
JA221101,8,pretrain,1,3,bkbg0901,The book tells a story,book,tells,story,NA,1525.333333,bkbg0901_4ch.wav,NaN,NaN,NaN,NaN
JA221101,9,pretrain,1,3,bkbg1611,They stared at the picture,They,stared,picture,NA,1333.333333,bkbg1611_4ch.wav,NaN,NaN,NaN,NaN
JA221101,10,pretrain,1,3,bkbg0715,He’s holding his nose,Hes,holding,nose,NA,1429.333333,bkbg0715_4ch.wav,NaN,NaN,NaN,NaN
JA221101,11,pretrain,1,3,aslg0109,The man dug his garden,man,dug,garden,NA,1834.666667,aslg0109_4ch.wav,NaN,NaN,NaN,NaN
JA221101,12,pretrain,1,3,bkbg0205,He cut his finger,He,cut,finger,NA,1088,bkbg0205_4ch.wav,NaN,NaN,NaN,NaN
JA221101,13,pretrain,2,4,aslg1712,The loud noise was sudden,loud,noise,sudden,NA,1630.895833,aslg1712_4ch.wav,0.785398163397448,1,-2.86374097336015,0
JA221101,14,pretrain,2,4,aslg0304,The curtains were too short,curtains,too,short,NA,1627.958333,aslg0304_4ch.wav,1.0311574412332,0,2.45429863548428,0.245759277835756
JA221101,15,pretrain,2,4,aslg0603,The lady was quite cross,lady,quite,cross,NA,1728,aslg0603_4ch.wav,0.951837547913683,0,2.21789071289968,0.166439384516235
JA221101,16,pretrain,2,4,aslg0915,The boy told a joke,boy,told,joke,NA,1322.666667,aslg0915_4ch.wav,0.785398163397448,1,-0.762356119664947,0
JA221101,17,pretrain,2,3,aslg0715,The young mother's shopping,young,mothers,shopping,NA,1717.333333,aslg0715_4ch.wav,1.81193950335756,0,-1.22166684055746,1.02654133996011
JA221101,18,pretrain,2,3,aslg0314,The man climbed the mountain,man,climbed,mountain,NA,1598.416667,aslg0314_4ch.wav,0.785398163397448,1,2.41713392258378,0
JA221101,19,pretrain,2,3,aslg0809,The post office was near,post,office,near,NA,1322.666667,aslg0809_4ch.wav,-0.124971632337296,0,-1.20528036110412,-0.910369795734744
JA221101,20,pretrain,2,3,aslg1311,The lady writes to her sister,lady,writes,sister,NA,1717.333333,aslg1311_4ch.wav,0.785398163397448,1,0.298326966151828,0
JA221101,21,pretrain,2,2,aslg1105,Some iends stayed for supper,iends,stayed,supper,NA,1930.666667,aslg1105_8ch.wav,0.478114031340275,0,-0.217006955168011,-0.307284132057174
JA221101,22,pretrain,2,2,aslg1114,The three iends are cycling,three,iends,cycling,NA,1736.5,aslg1114_8ch.wav,0.785398163397448,1,-2.43654327224048,0
JA221101,23,pretrain,2,2,aslg1604,The big needle was sharp,big,needle,sharp,NA,1696,aslg1604_8ch.wav,0.785398163397448,1,0.147645754286385,0
