Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD,SentencePresence,WavfileDir,TriggerFixFlipTime,TriggerFixFlipEnd,FixFlipTime,FixFlipEnd,FixClearFlipTime,FixClearFlipEnd,DurAudOnset,StimAudOnset,StimAudFlipTime,StimHSOnset,StimHSFlipTime,StimHSFlipEnd,DurGbOnset,StimGbOnset,StimGbFlipTime,StimGbFlipEnd,GbClearFlipTime,GbClearFlipEnd,HSClearFlipTime,HSClearFlipEnd,endAudPositionSecs,estAudStopTime,Resp1PrmptTime,Resp1FlipTime,Resp1FlipEnd,Resp1ScrClearTime,Resp1ClearFlipTime,Resp1ClearFlipEnd,Resp2FlipTime,Resp2FlipEnd,Resp2ScrClearTime,TrialDuration,EndPromptFlipTime,EndPromptFlipEnd,SentenceOnset,SentenceFlipTime,SentenceFlipEnd,RunStartTime,BlockStartTime,BlockEndTime,BlockDur,RunDur,RunEndTime,RespAud,AccAud,RtAbsAud,RTAud,RespGb,AccGb,RtAbsGb,RTGb,RespMemory,AccMemory,RtAbsMemory,RTMemory
JH22115,1,pretrain,1,1,aslg1004,They're stealing the apples,Theyre,stealing,apples,NA,1674.666667,aslg1004_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg1004_8ch.wav,NaN,NaN,1992007.0747071,1992007.0747243,0.202150100143626,0.202243400039151,NaN,1992007.1968572,0.550731000024825,1992007.2768572,0.557217700174078,0.5572365000844,NaN,NaN,NaN,NaN,NaN,NaN,2.22754029999487,2.22761570010334,1.67466666666667,1992009.30896367,1992009.3022474,2.43252220004797,2.43256510002539,1992011.0072293,3.93494669999927,3.93501380016096,NaN,NaN,NaN,3.9429829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1992010.4222425,0.915013199904934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JH22115,2,pretrain,1,1,bkbg0507,She used her spoon,She,used,spoon,NA,1493.333333,bkbg0507_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg0507_8ch.wav,NaN,NaN,1992011.0406431,1992011.0407245,0.202390999998897,0.202466800110415,NaN,1992011.1630341,0.281660600099713,1992011.2430341,0.28530430002138,0.28534820000641,NaN,NaN,NaN,NaN,NaN,NaN,1.77707080007531,1.77714590006508,1.49333333333333,1992012.81878423,1992012.8177139,1.82001910009421,1.82009649998508,1992014.3606622,3.32209220016375,3.322181600146,NaN,NaN,NaN,3.3368754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1992013.2733288,0.412666599964723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JH22115,3,pretrain,1,1,bkbg1003,She looked in her mirror,She,looked,in,mirror,1194.666667,bkbg1003_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg1003_8ch.wav,NaN,NaN,1992014.3901882,1992014.3902853,0.202416799962521,0.202491000061855,NaN,1992014.512605,0.273678499972448,1992014.592605,0.277194699971005,0.27721710014157,NaN,NaN,NaN,NaN,NaN,NaN,1.47051810007542,1.47059170017019,1.19466666666667,1992015.86733267,1992015.8607063,1.50252200011164,1.50257729995064,1992017.3927102,3.00457360013388,3.00465820007958,NaN,NaN,NaN,3.0191981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1992016.4815449,0.588834699941799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JH22115,4,pretrain,1,1,aslg0809,The post office was near,post,office,near,NA,1322.666667,aslg0809_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg0809_8ch.wav,NaN,NaN,1992017.4227998,1992017.422895,0.202749300049618,0.202824000036344,NaN,1992017.5455491,0.279123599873856,1992017.6255491,0.282457599882036,0.282477600034326,NaN,NaN,NaN,NaN,NaN,NaN,1.60391639987938,1.6039918998722,1.32266666666667,1992019.03420737,1992019.0267162,1.63737059989944,1.63742459984496,1992020.5601704,3.13945969985798,3.13953529996797,NaN,NaN,NaN,3.1539873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1992019.4275248,0.36735439999029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JH22115,5,pretrain,1,1,aslg1410,The sun came out,sun,came,out,NA,1184,aslg1410_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg1410_8ch.wav,NaN,NaN,1992020.5894294,1992020.5895293,0.202348800143227,0.20242300000973,NaN,1992020.7117782,0.261977100046352,1992020.7917782,0.265932000009343,0.26595320017077,NaN,NaN,NaN,NaN,NaN,NaN,1.44810650008731,1.44818100007251,1.184,1992022.0411321,1992022.0375359,1.47590130008757,1.47595400013961,1992023.5653307,2.97801550012082,2.97809040010907,NaN,NaN,NaN,2.9924318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1992022.3212303,0.255899599986151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JH22115,6,pretrain,1,1,bkbg0206,The thin dog was hungry,thin,dog,hungry,NA,1472,bkbg0206_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg0206_8ch.wav,NaN,NaN,1992023.5887068,1992023.5887819,0.202689500059932,0.202765099937096,NaN,1992023.7113963,0.270829499932006,1992023.7913963,0.275253999978304,0.275305100018159,NaN,NaN,NaN,NaN,NaN,NaN,1.74492329987697,1.74499720009044,1.472,1992025.3343034,1992025.3336301,1.76996619999409,1.77003960008733,1992026.858673,3.27174680004828,3.27178750000894,NaN,NaN,NaN,3.2859884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1992025.7417742,0.383101199986413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JH22115,7,pretrain,1,3,aslg1815,The biscuit tin was empty,biscuit,tin,empty,NA,1834.666667,aslg1815_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg1815_4ch.wav,NaN,NaN,1992026.8883854,1992026.8884439,0.20257980003953,0.202653500018641,NaN,1992027.0109652,0.275803599972278,1992027.0909652,0.279822899959981,0.279869399964809,NaN,NaN,NaN,NaN,NaN,NaN,2.11258670012467,2.11266120010987,1.83466666666667,1992029.00138807,1992029.0009721,2.15384460007772,2.15392030007206,1992030.54223,3.65590730006807,3.65598249994218,NaN,NaN,NaN,3.6718005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1992029.3854897,0.343259699875489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JH22115,8,pretrain,1,3,bkbg0607,The sun melted the snow,sun,melted,snow,NA,1738.666667,bkbg0607_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg0607_4ch.wav,NaN,NaN,1992030.5714519,1992030.571539,0.20236669993028,0.20244130003266,NaN,1992030.6938186,0.260019999928772,1992030.7738186,0.264106199843809,0.264152399962768,NaN,NaN,NaN,NaN,NaN,NaN,2.00088519998826,2.00096049997956,1.73866666666667,1992032.57856267,1992032.5723371,2.03786199982278,2.03791569988243,1992034.1093139,3.53986769984476,3.53992979996838,NaN,NaN,NaN,3.5541334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1992033.1524819,0.543168000178412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JH22115,9,pretrain,1,3,bkbg1210,The football game's over,football,games,over,NA,1376,bkbg1210_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg1210_4ch.wav,NaN,NaN,1992034.1375512,1992034.1376636,0.202466399874538,0.202541299862787,NaN,1992034.2600176,0.285035999957472,1992034.3400176,0.288883899804205,0.288904399843886,NaN,NaN,NaN,NaN,NaN,NaN,1.66311279986985,1.66318729985505,1.376,1992035.8096725,1992035.800664,1.71082099992782,1.71086929994635,1992037.3483722,3.21294509992003,3.21302009979263,NaN,NaN,NaN,3.2272048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1992036.1415111,0.293138900073245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JH22115,10,pretrain,1,3,bkbg0904,She stood near her window,She,stood,window,NA,1653.333333,bkbg0904_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg0904_4ch.wav,NaN,NaN,1992037.3705654,1992037.3706756,0.202349199913442,0.202423099894077,NaN,1992037.4929146,0.262547499965876,1992037.5729146,0.266255100024864,0.266275499947369,NaN,NaN,NaN,NaN,NaN,NaN,1.91794480010867,1.91801910009235,1.65333333333333,1992039.29215213,1992039.2885102,1.94469840009697,1.94529690011404,1992040.8152638,3.44667940004729,3.44674800010398,NaN,NaN,NaN,3.4605956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1992039.676567,0.361303200013936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JH22115,11,pretrain,1,3,bkbg1711,She’s calling her daughter,Shes,calling,daughter,NA,1344,bkbg1711_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg1711_4ch.wav,NaN,NaN,1992040.8366037,1992040.8366834,0.202575200004503,0.202649400103837,NaN,1992040.9591789,0.282795300008729,1992041.0391789,0.286725800018758,0.286761800060049,NaN,NaN,NaN,NaN,NaN,NaN,1.62892089993693,1.62899560015649,1.344,1992042.4706229,1992042.4655246,1.6583804001566,1.65846850001253,1992043.9949841,3.1604854001198,3.16055950010195,NaN,NaN,NaN,3.1732889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1992043.0357637,0.540779599919915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JH22115,12,pretrain,1,3,aslg1113,The raincoat's wet through,raincoats,wet,through,NA,1802.666667,aslg1113_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg1113_4ch.wav,NaN,NaN,1992044.0197357,1992044.0198398,0.202341800089926,0.20241570007056,NaN,1992044.1420775,0.275848200079054,1992044.2220775,0.27976609999314,0.279808199964464,NaN,NaN,NaN,NaN,NaN,NaN,2.08031999995001,2.08035319996998,1.80266666666667,1992046.10762237,1992046.1000557,2.0980944999028,2.09814379992895,1992047.6178302,3.60023150010966,3.60030649998225,NaN,NaN,NaN,3.6147454,3.64120800001547,3.64123680000193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1992046.3405885,0.222758300136775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JH22115,13,pretrain,2,1,aslg1808,The farmer sowed some seeds,farmer,sowed,seeds,NA,1824,aslg1808_8ch.wav,0.785398163397448,1,-2.07822575342269,0,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg1808_8ch.wav,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JH22115,14,pretrain,2,1,aslg0601,The girl knew the story,girl,knew,story,NA,1525.333333,aslg0601_8ch.wav,-0.257970896447454,0,3.11607525017589,-1.0433690598449,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg0601_8ch.wav,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JH22115,15,pretrain,2,1,aslg0902,They parked by the station,They,parked,station,NA,1781.333333,aslg0902_8ch.wav,0.785398163397448,1,1.5766517241479,0,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg0902_8ch.wav,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JH22115,16,pretrain,2,1,bkbg0211,A mouse ran down the hole,mouse,ran,down,hole,1762.083333,bkbg0211_8ch.wav,-0.235806155727071,0,-2.38165428908167,-1.02120431912452,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg0211_8ch.wav,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JH22115,17,pretrain,2,3,aslg0313,They picked some raspberries,They,picked,raspberries,NA,1866.666667,aslg0313_4ch.wav,-0.231619218626006,0,0.0528346158181279,-1.01701738202345,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg0313_4ch.wav,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JH22115,18,pretrain,2,3,aslg0806,The train arrived on time,train,arrived,time,NA,1941.333333,aslg0806_4ch.wav,0.785398163397448,1,-2.41541943917908,0,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg0806_4ch.wav,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JH22115,19,pretrain,2,3,bkbg1015,The buckets hold water,buckets,hold,water,NA,1482.666667,bkbg1015_4ch.wav,0.785398163397448,1,-0.475106360020486,0,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg1015_4ch.wav,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
