Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD
JV221004,1,pretrain,1,1,aslg0401,The old clothes were dirty,old,clothes,dirty,NA,1600,aslg0401_8ch.wav,NaN,NaN,NaN,NaN
JV221004,2,pretrain,1,1,aslg1813,She ironed her skirt,She,ironed,skirt,NA,1653.333333,aslg1813_8ch.wav,NaN,NaN,NaN,NaN
JV221004,3,pretrain,1,1,aslg1808,The farmer sowed some seeds,farmer,sowed,seeds,NA,1824,aslg1808_8ch.wav,NaN,NaN,NaN,NaN
JV221004,4,pretrain,1,1,aslg1606,Roses grow in the garden,Roses,grow,garden,NA,1738.666667,aslg1606_8ch.wav,NaN,NaN,NaN,NaN
JV221004,5,pretrain,1,1,bkbg1406,He dropped his money,He,dropped,money,NA,1002.666667,bkbg1406_8ch.wav,NaN,NaN,NaN,NaN
JV221004,6,pretrain,1,1,bkbg0211,A mouse ran down the hole,mouse,ran,down,hole,1762.083333,bkbg0211_8ch.wav,NaN,NaN,NaN,NaN
JV221004,7,pretrain,1,3,aslg0604,The rope was too short,rope,too,short,NA,1632,aslg0604_4ch.wav,NaN,NaN,NaN,NaN
JV221004,8,pretrain,1,3,bkbg0613,They took some food,They,took,food,NA,1194.666667,bkbg0613_4ch.wav,NaN,NaN,NaN,NaN
JV221004,9,pretrain,1,3,bkbg0209,She’s taking her coat,Shes,taking,coat,NA,1514.666667,bkbg0209_4ch.wav,NaN,NaN,NaN,NaN
JV221004,10,pretrain,1,3,bkbg1106,They finished the dinner,They,finished,dinner,NA,1098.666667,bkbg1106_4ch.wav,NaN,NaN,NaN,NaN
JV221004,11,pretrain,1,3,aslg0204,The lady watered her plants,lady,watered,plants,NA,1952,aslg0204_4ch.wav,NaN,NaN,NaN,NaN
JV221004,12,pretrain,1,3,bkbg0706,Mother fetches a saucepan,Mother,fetches,saucepan,NA,1642.666667,bkbg0706_4ch.wav,NaN,NaN,NaN,NaN
JV221004,13,pretrain,2,3,bkbg1814,The snow lay on the roof,snow,lay,roof,NA,1696,bkbg1814_4ch.wav,-0.0968943515255014,0,-2.13508310290824,-0.88229251492295
JV221004,14,pretrain,2,3,aslg1007,The little car was slow,little,car,slow,NA,1856,aslg1007_4ch.wav,-0.219868346826161,0,-0.202109395748011,-1.00526651022361
JV221004,15,pretrain,2,3,aslg0702,She tapped at the window,She,tapped,window,NA,1578.666667,aslg0702_4ch.wav,0.785398163397448,1,-2.95925500120515,0
