Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD
NK221102,1,pretrain,1,3,aslg1004,They're stealing the apples,Theyre,stealing,apples,NA,1674.666667,aslg1004_4ch.wav,NaN,NaN,NaN,NaN
NK221102,2,pretrain,1,3,bkbg0502,The matches lie on the shelf,matches,lie,shelf,NA,1749.333333,bkbg0502_4ch.wav,NaN,NaN,NaN,NaN
NK221102,3,pretrain,1,3,bkbg0609,She had her pocket money,She,pocket,money,NA,1418.666667,bkbg0609_4ch.wav,NaN,NaN,NaN,NaN
NK221102,4,pretrain,1,3,bkbg0714,The orange was quite sweet,orange,quite,sweet,NA,1824,bkbg0714_4ch.wav,NaN,NaN,NaN,NaN
NK221102,5,pretrain,1,3,aslg0113,Father's hiding the presents,Fathers,hiding,presents,NA,1877.333333,aslg0113_4ch.wav,NaN,NaN,NaN,NaN
NK221102,6,pretrain,1,3,aslg0107,The towel dripped on the carpet,towel,dripped,carpet,NA,1826.395833,aslg0107_4ch.wav,NaN,NaN,NaN,NaN
NK221102,7,pretrain,1,1,bkbg0701,The children dropped the bag,children,dropped,bag,NA,1728,bkbg0701_8ch.wav,NaN,NaN,NaN,NaN
NK221102,8,pretrain,1,1,bkbg1702,He drinks from his mug,He,drinks,mug,NA,1248,bkbg1702_8ch.wav,NaN,NaN,NaN,NaN
NK221102,9,pretrain,1,1,bkbg0308,He needed his holiday,He,needed,holiday,NA,1429.333333,bkbg0308_8ch.wav,NaN,NaN,NaN,NaN
NK221102,10,pretrain,1,1,aslg0409,They're standing up,Theyre,standing,up,NA,1301.333333,aslg0409_8ch.wav,NaN,NaN,NaN,NaN
NK221102,11,pretrain,1,1,bkbg0302,The dog played with a stick,dog,played,stick,NA,1589.333333,bkbg0302_8ch.wav,NaN,NaN,NaN,NaN
NK221102,12,pretrain,1,1,aslg1506,The horse was quite old,horse,quite,old,NA,1504,aslg1506_8ch.wav,NaN,NaN,NaN,NaN
NK221102,13,pretrain,2,1,bkbg1705,The big boy kicked the ball,big,boy,kicked,ball,1610.666667,bkbg1705_8ch.wav,-0.235159870750899,0,-1.30560590295838,-1.02055803414835
NK221102,14,pretrain,2,1,bkbg1505,The driver starts the engine,driver,starts,engine,NA,1813.333333,bkbg1505_8ch.wav,0.785398163397448,1,-1.98377368232409,0
NK221102,15,pretrain,2,1,bkbg1516,The puppy plays with a ball,puppy,plays,ball,NA,1578.666667,bkbg1516_8ch.wav,1.80856495368147,0,2.71345509870483,1.02316679028402
NK221102,16,pretrain,2,1,aslg0508,The children laughed at the clown,children,laughed,clown,NA,1792,aslg0508_8ch.wav,0.785398163397448,1,-2.35127562053475,0
NK221102,17,pretrain,2,3,bkbg1105,The driver waits by the corner,driver,waits,corner,NA,1621.333333,bkbg1105_4ch.wav,1.68246091123363,0,-1.83660059908319,0.897062747836181
NK221102,18,pretrain,2,3,aslg1508,The birds sang from the tree,birds,sang,tree,NA,1674.666667,aslg1508_4ch.wav,-0.179578601874772,0,-0.946113263156746,-0.96497676527222
NK221102,19,pretrain,2,3,bkbg2114,The kettle boiled quickly,kettle,boiled,quickly,NA,1568,bkbg2114_4ch.wav,0.785398163397448,1,-0.460841129042964,0
NK221102,20,pretrain,2,3,bkbg1613,The oven door was open,oven,door,open,NA,1429.333333,bkbg1613_4ch.wav,1.7393135992302,0,-1.95939119475031,0.953915435832749
NK221102,21,pretrain,2,4,aslg1414,They're bringing some pears,Theyre,bringing,pears,NA,1546.666667,aslg1414_4ch.wav,0.785398163397448,1,3.0995955617538,0
NK221102,22,pretrain,2,4,bkbg0101,The clown had a funny face,clown,funny,face,NA,1920,bkbg0101_4ch.wav,0.785398163397448,1,-1.58822573551707,0
NK221102,23,pretrain,2,4,bkbg0908,He listens to his father,He,listens,to,father,1557.333333,bkbg0908_4ch.wav,1.07731856569422,0,0.0223244153208156,0.291920402296768
NK221102,24,pretrain,2,4,bkbg1003,She looked in her mirror,She,looked,in,mirror,1194.666667,bkbg1003_4ch.wav,0.785398163397448,1,-1.08354549148179,0
NK221102,25,pretrain,2,2,aslg1207,The noise scared the sheep,noise,scared,sheep,NA,1845.145833,aslg1207_8ch.wav,1.00380872147107,0,-2.44063849197218,0.218410558073623
NK221102,26,pretrain,2,2,bkbg1102,The dogs go for a walk,dogs,go,walk,NA,1557.333333,bkbg1102_8ch.wav,0.672118238225215,0,1.53771297460413,-0.113279925172233
NK221102,27,pretrain,2,2,aslg0303,He hid his money,He,hid,money,NA,1146.625,aslg0303_8ch.wav,0.785398163397448,1,2.58051903086707,0
NK221102,28,pretrain,2,2,aslg1408,The rose bush was blooming,rose,bush,blooming,NA,1525.333333,aslg1408_8ch.wav,0.785398163397448,1,2.33021599843162,0
NK221102,29,main,3,1,aslg0902,They parked by the station,They,parked,station,NA,1781.333333,aslg0902_8ch.wav,0.785398163397448,1,1.64087006502147,0
NK221102,30,main,3,1,aslg0809,The post office was near,post,office,near,NA,1322.666667,aslg0809_8ch.wav,-0.234562139046564,0,-0.298837644651354,-1.01996030244401
NK221102,31,main,3,1,aslg0901,The car engine's running,car,engines,running,NA,1813.333333,aslg0901_8ch.wav,-0.131774920725598,0,0.79262508476966,-0.917173084123047
NK221102,32,main,3,1,bkbg0611,He’s bringing his raincoat,Hes,bringing,raincoat,NA,1525.333333,bkbg0611_8ch.wav,0.785398163397448,1,-2.97863612768781,0
NK221102,33,main,3,2,bkbg0503,They’re running past the house,Theyre,running,past,house,1674.666667,bkbg0503_8ch.wav,0.675535947693975,0,0.760241543379952,-0.109862215703474
NK221102,34,main,3,2,aslg1612,The mice saw the trap,mice,saw,trap,NA,1557.333333,aslg1612_8ch.wav,0.785398163397448,1,0.733650233660398,0
NK221102,35,main,3,2,bkbg0909,The shoes were very dirty,shoes,very,dirty,NA,1802.666667,bkbg0909_8ch.wav,0.785398163397448,1,0.266123743525313,0
NK221102,36,main,3,2,aslg1210,The children heard the doorbell,children,heard,doorbell,NA,1638.916667,aslg1210_8ch.wav,1.08187605795752,0,-3.05107412918273,0.296477894560073
NK221102,37,main,3,3,aslg0915,The boy told a joke,boy,told,joke,NA,1322.666667,aslg0915_4ch.wav,0.785398163397448,1,-1.17272929463232,0
NK221102,38,main,3,3,bkbg2002,They’re going out,Theyre,going,out,NA,1034.666667,bkbg2002_4ch.wav,0.785398163397448,1,-1.16105232504454,0
NK221102,39,main,3,3,bkbg2101,The pepper pot was empty,pepper,pot,empty,NA,1514.666667,bkbg2101_4ch.wav,-0.261175956854991,0,1.83744153106402,-1.04657412025244
NK221102,40,main,3,3,aslg1415,The garden's very neat,gardens,very,neat,NA,1514.666667,aslg1415_4ch.wav,0.785398163397448,1,-0.786643451877033,0
NK221102,41,main,3,4,aslg1115,They tied the rope,They,tied,rope,NA,1397.333333,aslg1115_4ch.wav,0.639393175279135,0,0.175261462844693,-0.146004988118313
NK221102,42,main,3,4,aslg1313,The farmer's buying some pigs,farmers,buying,pigs,NA,1728.895833,aslg1313_4ch.wav,0.62046850149895,0,-2.77356446536551,-0.164929661898498
NK221102,43,main,3,4,bkbg0914,The train’s moving fast,trains,moving,fast,NA,1717.333333,bkbg0914_4ch.wav,0.785398163397448,1,0.218801655277601,0
NK221102,44,main,3,4,bkbg0615,The broom stood in the corner,broom,stood,corner,NA,1610.666667,bkbg0615_4ch.wav,0.604402621173592,0,1.53043160446014,-0.180995542223856
NK221102,45,main,4,1,aslg0608,The china vase was broken,china,vase,broken,NA,1851.916667,aslg0608_8ch.wav,0.785398163397448,1,0.429342443159612,0
