Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD,SentencePresence,WavfileDir,TriggerFixFlipTime,TriggerFixFlipEnd,FixFlipTime,FixFlipEnd,FixClearFlipTime,FixClearFlipEnd,DurAudOnset,StimAudOnset,StimAudFlipTime,StimHSOnset,StimHSFlipTime,StimHSFlipEnd,DurGbOnset,StimGbOnset,StimGbFlipTime,StimGbFlipEnd,GbClearFlipTime,GbClearFlipEnd,HSClearFlipTime,HSClearFlipEnd,endAudPositionSecs,estAudStopTime,Resp1PrmptTime,Resp1FlipTime,Resp1FlipEnd,Resp1ScrClearTime,Resp1ClearFlipTime,Resp1ClearFlipEnd,Resp2FlipTime,Resp2FlipEnd,Resp2ScrClearTime,TrialDuration,EndPromptFlipTime,EndPromptFlipEnd,SentenceOnset,SentenceFlipTime,SentenceFlipEnd,RunStartTime,BlockStartTime,BlockEndTime,BlockDur,RunDur,RunEndTime,RespAud,AccAud,RtAbsAud,RTAud,RespGb,AccGb,RtAbsGb,RTGb,RespMemory,AccMemory,RtAbsMemory,RTMemory
RU221003,1,pretrain,1,3,aslg0415,The lady changed her mind,lady,changed,mind,NA,1898.666667,aslg0415_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\aslg0415_4ch.wav,NaN,NaN,1303804.1400585,1303804.1400833,0.20162730012089,0.201698699966073,NaN,1303804.2616858,0.404087200062349,1303804.3416858,0.427186199929565,0.42721930006519,NaN,NaN,NaN,NaN,NaN,NaN,2.30450599989854,2.30458609992638,1.89,1303806.4576193,1303806.4445645,2.79996390012093,2.80000080005266,1303808.4400224,4.30168100004084,4.30170190008357,NaN,NaN,NaN,4.3290804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,9999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RU221003,2,pretrain,1,3,bkbg1913,They’re staying for supper,Theyre,staying,supper,NA,1248,bkbg1913_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg1913_4ch.wav,NaN,NaN,1303808.4837609,1303808.4838814,0.202182299923152,0.2022757998202,NaN,1303808.6059432,0.4177218999248,1303808.6859432,0.452481799991801,0.452510299859568,NaN,NaN,NaN,NaN,NaN,NaN,1.66746769985184,1.66755010001361,1.23,1303810.1700826,1303810.1512286,1.74630379979499,1.74636269989423,1303811.7300647,3.24808569997549,3.24816660000943,NaN,NaN,NaN,3.2617855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1303810.8969658,0.666901100194082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RU221003,3,pretrain,1,3,bkbg0101,The clown had a funny face,clown,funny,face,NA,1920,bkbg0101_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg0101_4ch.wav,NaN,NaN,1303811.7643448,1303811.7644559,0.201731099979952,0.201802799943835,NaN,1303811.8860759,0.40898559987545,1303811.9660759,0.430102600017563,0.430146199883893,NaN,NaN,NaN,NaN,NaN,NaN,2.33086790004745,2.33099689986557,1.91,1303814.1067181,1303814.0952127,2.47512739989907,2.47516339994036,1303815.7394722,3.97685129987076,3.97694720001891,NaN,NaN,NaN,3.9917431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1303814.5258621,0.286389900138602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RU221003,4,pretrain,1,3,aslg0411,The waiter lit the candles,waiter,lit,candles,NA,1749.333333,aslg0411_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\aslg0411_4ch.wav,NaN,NaN,1303815.7606643,1303815.7607639,0.201734700007364,0.201826700009406,NaN,1303815.882399,0.415209699887782,1303815.962399,0.446424999972805,0.446455699857324,NaN,NaN,NaN,NaN,NaN,NaN,2.16662929998711,2.16670900001191,1.73,1303817.9411462,1303817.9272936,2.20467010000721,2.20471219997853,1303819.4653344,3.70640000002459,3.70649140002206,NaN,NaN,NaN,3.7207795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1303818.2521626,0.286828199867159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RU221003,5,pretrain,1,3,bkbg0906,A letter fell on the mat,letter,fell,mat,NA,1685.333333,bkbg0906_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg0906_4ch.wav,NaN,NaN,1303819.4903383,1303819.4904287,0.201826000120491,0.201898500090465,NaN,1303819.6121643,0.388644200051203,1303819.6921643,0.40950860013254,0.409537700004876,NaN,NaN,NaN,NaN,NaN,NaN,2.07569430000149,2.07577410014346,1.68533333333333,1303821.58053313,1303821.5660326,2.13054550020024,2.13062960002571,1303823.1208838,3.63226110022515,3.63234040001407,NaN,NaN,NaN,3.6483529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1303821.8252727,0.204388899961486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RU221003,6,pretrain,1,3,bkbg1113,The two farmers are talking,two,farmers,talking,NA,1546.666667,bkbg1113_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg1113_4ch.wav,NaN,NaN,1303823.1536676,1303823.1537795,0.201772100059316,0.201851900201291,NaN,1303823.2754397,0.394342500017956,1303823.3554397,0.420831400202587,0.420859000179917,NaN,NaN,NaN,NaN,NaN,NaN,1.94271120009944,1.9427827000618,1.54,1303825.114983,1303825.0963788,2.00200600014068,2.00208630017005,1303826.6556736,3.50371680012904,3.50379600003362,NaN,NaN,NaN,3.5174276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1303825.9474508,0.791777200065553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RU221003,7,pretrain,1,1,bkbg1004,The good boy's helping,good,boys,helping,NA,1322.666667,bkbg1004_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg1004_8ch.wav,NaN,NaN,1303826.6836478,1303826.6837617,0.201796199893579,0.201867300085723,NaN,1303826.805444,0.387143699917942,1303826.885444,0.416458300082013,0.416489700088277,NaN,NaN,NaN,NaN,NaN,NaN,1.71157100005075,1.7116525999736,1.31,1303828.4140782,1303828.3952188,1.76511109992862,1.76526300003752,1303829.9487589,3.26675909990445,3.26683100010268,NaN,NaN,NaN,3.2810581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1303828.9530945,0.504335599951446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RU221003,8,pretrain,1,1,aslg0613,The bird's building a nest,birds,building,nest,NA,1706.291667,aslg0613_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\aslg0613_8ch.wav,NaN,NaN,1303830.1043529,1303830.1043742,0.20165599999018,0.202468799892813,NaN,1303830.2260089,0.388704600045457,1303830.3060089,0.422717700013891,0.422745799878612,NaN,NaN,NaN,NaN,NaN,NaN,2.0966934999451,2.09677209984511,1.68,1303832.2113419,1303832.2010464,2.143211199902,2.14329169993289,1303833.7475641,3.64478089986369,3.6448671000544,NaN,NaN,NaN,3.7830548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1303832.814456,0.566891900030896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RU221003,9,pretrain,1,1,aslg1513,They watched the sunset,They,watched,sunset,NA,1248,aslg1513_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\aslg1513_8ch.wav,NaN,NaN,1303833.7766822,1303833.7768275,0.201700499979779,0.201737600145862,NaN,1303833.8983827,0.286760500166565,1303833.9783827,0.307638300117105,0.307666100095958,NaN,NaN,NaN,NaN,NaN,NaN,1.53652289998718,1.53660570015199,1.248,1303835.33026,1303835.3132051,1.58798190020025,1.58806910016574,1303836.8646641,3.08949759998359,3.08956590015441,NaN,NaN,NaN,3.1032059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1303836.1406759,0.776011799927801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RU221003,10,pretrain,1,1,bkbg0801,The boy forgot his book,boy,forgot,book,NA,1568,bkbg0801_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_3_220920_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_bucni\audiostim\main\bkbg0801_8ch.wav,NaN,NaN,1303836.8905135,1303836.8905824,0.202129499986768,0.202209900133312,NaN,1303837.012643,0.394440500065684,1303837.092643,0.418288100045174,0.41831750003621,NaN,NaN,NaN,NaN,NaN,NaN,1.96430310001597,1.96440840000287,1.55,1303838.8551902,1303838.8548166,2.00105920014903,2.00114569999278,1303840.3915727,3.50278630014509,3.50286519993097,NaN,NaN,NaN,3.5174129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1303839.4973029,0.605730199953541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
