Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD,SentencePresence,WavfileDir,TriggerFixFlipTime,TriggerFixFlipEnd,FixFlipTime,FixFlipEnd,FixClearFlipTime,FixClearFlipEnd,DurAudOnset,StimAudOnset,StimAudFlipTime,StimHSOnset,StimHSFlipTime,StimHSFlipEnd,DurGbOnset,StimGbOnset,StimGbFlipTime,StimGbFlipEnd,GbClearFlipTime,GbClearFlipEnd,HSClearFlipTime,HSClearFlipEnd,endAudPositionSecs,estAudStopTime,Resp1PrmptTime,Resp1FlipTime,Resp1FlipEnd,Resp1ScrClearTime,Resp1ClearFlipTime,Resp1ClearFlipEnd,Resp2FlipTime,Resp2FlipEnd,Resp2ScrClearTime,TrialDuration,EndPromptFlipTime,EndPromptFlipEnd,SentenceOnset,SentenceFlipTime,SentenceFlipEnd,RunStartTime,BlockStartTime,BlockEndTime,BlockDur,RunDur,RunEndTime,RespAud,AccAud,RtAbsAud,RTAud,RespGb,AccGb,RtAbsGb,RTGb,RespMemory,AccMemory,RtAbsMemory,RTMemory
SJ221109,1,pretrain,1,1,bkbg0211,A mouse ran down the hole,mouse,ran,down,hole,1762.083333,bkbg0211_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_mainlaptop_bucni\audiostim\main\bkbg0211_8ch.wav,NaN,NaN,611221.898351,611221.8983783,0.201653499971144,0.201724699931219,NaN,611222.0200045,0.320044199936092,611222.1000045,0.352717399946414,0.352745099924505,NaN,NaN,NaN,NaN,NaN,NaN,2.08379730000161,2.08386899996549,1.74,611223.9963188,611223.9821483,2.21141059999354,2.2114468999207,611225.6097616,3.71291140001267,3.71293519996107,NaN,NaN,NaN,3.7226234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,611225.0950206,0.985258999979123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SJ221109,2,pretrain,1,1,bkbg0606,The lady goes to the shop,lady,goes,to,shop,1514.666667,bkbg0606_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_mainlaptop_bucni\audiostim\main\bkbg0606_8ch.wav,NaN,NaN,611225.6330962,611225.6331302,0.202141200075857,0.202221500105225,NaN,611225.7552374,0.324213800020516,611225.8352374,0.352659800089896,0.352686000056565,NaN,NaN,NaN,NaN,NaN,NaN,1.84055409999564,1.84062490006909,1.5,611227.4865539,611227.4736503,1.87648830004036,1.87652360007633,611229.0095845,3.37810170010198,3.37812530004885,NaN,NaN,NaN,3.3938983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,611228.0056651,0.496080599958077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SJ221109,3,pretrain,1,1,bkbg2103,A girl came into the room,girl,came,room,NA,1696,bkbg2103_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_mainlaptop_bucni\audiostim\main\bkbg2103_8ch.wav,NaN,NaN,611229.0299205,611229.0299545,0.202096399967559,0.202186899958178,NaN,611229.1520169,0.320932799950242,611229.2320169,0.353375899954699,0.353410399984568,NaN,NaN,NaN,NaN,NaN,NaN,2.01823559997138,2.01826249994338,1.68,611231.0618642,611231.0481561,2.04818769998383,2.0482222000137,611232.5781082,3.54949470004067,3.54951869999059,NaN,NaN,NaN,3.5634089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,611231.4445977,0.366489500040188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SJ221109,4,pretrain,1,1,aslg1802,The girl carried a basket,girl,carried,basket,NA,1930.666667,aslg1802_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_mainlaptop_bucni\audiostim\main\aslg1802_8ch.wav,NaN,NaN,611232.6099004,611232.6099337,0.202024600002915,0.202098199981265,NaN,611232.731925,0.316270199953578,611232.811925,0.344917099922895,0.344946099910885,NaN,NaN,NaN,NaN,NaN,NaN,2.2487660999177,2.24884749995545,1.91,611234.8696576,611234.8586665,2.28425459994469,2.28429039998446,611236.394155,3.78600969992112,3.78687369998079,NaN,NaN,NaN,3.80269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,611235.3895446,0.495389600051567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SJ221109,5,pretrain,1,1,bkbg0112,The boy did a handstand,boy,did,handstand,NA,1685.333333,bkbg0112_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_mainlaptop_bucni\audiostim\main\bkbg0112_8ch.wav,NaN,NaN,611236.4233131,611236.4234259,0.201696799951605,0.201770100044087,NaN,611236.5450099,0.318460699985735,611236.6250099,0.346491700038314,0.346518700011075,NaN,NaN,NaN,NaN,NaN,NaN,2.00549430004321,2.00556479999796,1.68,611238.4473499,611238.4288074,2.05116040003486,2.05120300000999,611239.9744735,3.55288900004234,3.55296650005039,NaN,NaN,NaN,3.5672703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,611239.038487,0.564013499999419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SJ221109,6,pretrain,1,1,aslg0912,The lady has a fur coat,lady,fur,coat,NA,1653.333333,aslg0912_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_mainlaptop_bucni\audiostim\main\aslg0912_8ch.wav,NaN,NaN,611240.0033441,611240.0034792,0.201375600066967,0.201410599984229,NaN,611240.1247197,0.305682600010186,611240.2047197,0.331635400070809,0.331662100041285,NaN,NaN,NaN,NaN,NaN,NaN,1.96071660006419,1.96078750002198,1.65,611241.9824973,611241.9640607,2.00252900004853,2.00256460008677,611243.5058731,3.50379780004732,3.50382220000029,NaN,NaN,NaN,3.5178361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,611243.0207611,1.01488799997605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SJ221109,7,pretrain,1,3,bkbg1810,The dog's eating some meat,dogs,eating,meat,NA,1546.666667,bkbg1810_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_mainlaptop_bucni\audiostim\main\bkbg1810_4ch.wav,NaN,NaN,611243.5329323,611243.5329663,0.201715299976058,0.201740700053051,NaN,611243.6546476,0.301444399985485,611243.7346476,0.332908699987456,0.332940399996005,NaN,NaN,NaN,NaN,NaN,NaN,1.84988839994185,1.84997019998264,1.53,611245.395361,611245.3828207,1.88593520002905,1.88597069995012,611246.9188675,3.38759609998669,3.3876679999521,NaN,NaN,NaN,3.4035252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,611246.1906053,0.771737799979746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SJ221109,8,pretrain,1,3,aslg0515,The nurse helped the child,nurse,helped,child,NA,1774.916667,aslg0515_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_mainlaptop_bucni\audiostim\main\aslg0515_4ch.wav,NaN,NaN,611246.9467312,611246.9468439,0.201772000058554,0.201844200026244,NaN,611247.0685032,0.313678500009701,611247.1485032,0.338599900016561,0.338626199983992,NaN,NaN,NaN,NaN,NaN,NaN,2.09035870002117,2.09065560007002,1.76,611249.048251,611249.0370899,2.13990120007657,2.13993780000601,611250.5866324,3.64113800006453,3.64117139996961,NaN,NaN,NaN,3.6553811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,611249.5604166,0.473784199915826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SJ221109,9,pretrain,1,3,aslg0202,They finished the jigsaw,They,finished,jigsaw,NA,1397.333333,aslg0202_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_mainlaptop_bucni\audiostim\main\aslg0202_4ch.wav,NaN,NaN,611250.6095256,611250.6095676,0.20173440000508,0.20176760002505,NaN,611250.73126,0.304822999984026,611250.81126,0.331233900040388,0.33127650001552,NaN,NaN,NaN,NaN,NaN,NaN,1.70339559996501,1.70343170000706,1.39,611252.3326595,611252.3129212,1.74082239996642,1.74085820000619,611253.850348,3.24203580000903,3.2420751999598,NaN,NaN,NaN,3.2578778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,611252.8782044,0.527856400003657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SJ221109,10,pretrain,1,3,aslg0501,The daughter closed the box,daughter,closed,box,NA,1811.145833,aslg0501_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural_fmri\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_mainlaptop_bucni\audiostim\main\aslg0501_4ch.wav,NaN,NaN,611253.8731624,611253.8731982,0.201661000028253,0.201693100039847,NaN,611253.9948234,0.314940600073896,611254.0748234,0.344590699998662,0.344627500046045,NaN,NaN,NaN,NaN,NaN,NaN,2.12728080002125,2.12730589997955,1.8,611256.0200255,611256.0004432,2.16442889999598,2.16447920002975,611257.5375913,3.66561580006965,3.66564889997244,NaN,NaN,NaN,3.6814841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,611256.5649721,0.527380799991079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
