Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD
VG221026,1,pretrain,1,1,bkbg1408,The kitchen window was clean,kitchen,window,clean,NA,1770.666667,bkbg1408_8ch.wav,NaN,NaN,NaN,NaN
VG221026,2,pretrain,1,1,bkbg1514,The mother tied the string,mother,tied,string,NA,1493.333333,bkbg1514_8ch.wav,NaN,NaN,NaN,NaN
VG221026,3,pretrain,1,1,bkbg1504,The shop closed for lunch,shop,closed,lunch,NA,1866.666667,bkbg1504_8ch.wav,NaN,NaN,NaN,NaN
VG221026,4,pretrain,1,1,aslg1109,The three men were angry,three,men,angry,NA,1610.666667,aslg1109_8ch.wav,NaN,NaN,NaN,NaN
VG221026,5,pretrain,1,1,aslg0411,The waiter lit the candles,waiter,lit,candles,NA,1749.333333,aslg0411_8ch.wav,NaN,NaN,NaN,NaN
VG221026,6,pretrain,1,1,bkbg1312,The plant hangs above the door,plant,hangs,above,door,1664,bkbg1312_8ch.wav,NaN,NaN,NaN,NaN
VG221026,7,pretrain,1,3,bkbg0516,The cold milk's in a jug,cold,milks,jug,NA,1610.666667,bkbg0516_4ch.wav,NaN,NaN,NaN,NaN
VG221026,8,pretrain,1,3,aslg0701,The cat scratched the chair,cat,scratched,chair,NA,1831.9375,aslg0701_4ch.wav,NaN,NaN,NaN,NaN
VG221026,9,pretrain,1,3,bkbg1306,Potatoes grow in the ground,otatoes,row,ground,NA,1802.666667,bkbg1306_4ch.wav,NaN,NaN,NaN,NaN
VG221026,10,pretrain,1,3,bkbg1001,A tea towel’s by the sink,tea,towels,sink,NA,1568,bkbg1001_4ch.wav,NaN,NaN,NaN,NaN
VG221026,11,pretrain,1,3,bkbg1605,A lady buys some butter,lady,buys,butter,NA,1557.333333,bkbg1605_4ch.wav,NaN,NaN,NaN,NaN
VG221026,12,pretrain,1,3,bkbg0203,The ball went into the goal,ball,went,into,goal,1749.333333,bkbg0203_4ch.wav,NaN,NaN,NaN,NaN
VG221026,13,pretrain,2,1,aslg0704,He slid on the floor,He,slid,floor,NA,1472,aslg0704_8ch.wav,0.785398163397448,1,3.03664715683527,0
VG221026,14,pretrain,2,1,aslg0413,The woman slipped on the ice,woman,slipped,ice,NA,1962.666667,aslg0413_8ch.wav,-0.130899581713088,0,1.1401652329011,-0.916297745110536
