Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD
VM221101,1,pretrain,1,1,bkbg1403,They’re drinking tea,Theyre,drinking,tea,NA,1120,bkbg1403_8ch.wav,NaN,NaN,NaN,NaN
VM221101,2,pretrain,1,1,bkbg0106,They’re buying some bread,Theyre,buying,bread,NA,1344,bkbg0106_8ch.wav,NaN,NaN,NaN,NaN
VM221101,3,pretrain,1,1,bkbg1014,The ground was too hard,ground,too,hard,NA,1418.666667,bkbg1014_8ch.wav,NaN,NaN,NaN,NaN
VM221101,4,pretrain,1,1,bkbg0203,The ball went into the goal,ball,went,into,goal,1749.333333,bkbg0203_8ch.wav,NaN,NaN,NaN,NaN
VM221101,5,pretrain,1,1,bkbg0901,The book tells a story,book,tells,story,NA,1525.333333,bkbg0901_8ch.wav,NaN,NaN,NaN,NaN
VM221101,6,pretrain,1,1,bkbg0814,The footballer lost a boot,footballer,lost,boot,NA,1728,bkbg0814_8ch.wav,NaN,NaN,NaN,NaN
VM221101,7,pretrain,1,3,bkbg1705,The big boy kicked the ball,big,boy,kicked,ball,1610.666667,bkbg1705_4ch.wav,NaN,NaN,NaN,NaN
VM221101,8,pretrain,1,3,aslg1015,The man drew with a pencil,man,drew,pencil,NA,1754.8125,aslg1015_4ch.wav,NaN,NaN,NaN,NaN
VM221101,9,pretrain,1,3,bkbg0405,The house had a nice garden,house,nice,garden,NA,1728,bkbg0405_4ch.wav,NaN,NaN,NaN,NaN
VM221101,10,pretrain,1,3,aslg1111,The man forgot his change,man,forgot,change,NA,1932.75,aslg1111_4ch.wav,NaN,NaN,NaN,NaN
VM221101,11,pretrain,1,3,bkbg1903,The baby lay on a rug,baby,lay,rug,NA,1450.666667,bkbg1903_4ch.wav,NaN,NaN,NaN,NaN
VM221101,12,pretrain,1,3,aslg0711,They painted the ceiling,They,painted,ceiling,NA,1226.666667,aslg0711_4ch.wav,NaN,NaN,NaN,NaN
VM221101,13,pretrain,2,3,bkbg0112,The boy did a handstand,boy,did,handstand,NA,1685.333333,bkbg0112_4ch.wav,0.785398163397448,1,0.768125686414857,0
VM221101,14,pretrain,2,3,aslg1806,They're living by the sea,Theyre,living,sea,NA,1674.666667,aslg1806_4ch.wav,-0.0529420018066147,0,-0.911003368939767,-0.838340165204063
VM221101,15,pretrain,2,3,bkbg0806,The jug stood on the shelf,jug,stood,shelf,NA,1717.333333,bkbg0806_4ch.wav,0.785398163397448,1,-0.193640636458979,0
VM221101,16,pretrain,2,3,bkbg0415,The child grabs the toy,child,grabs,toy,NA,1856,bkbg0415_4ch.wav,-0.0893621289393896,0,-1.94866380930086,-0.874760292336838
VM221101,17,pretrain,2,1,aslg1813,She ironed her skirt,She,ironed,skirt,NA,1653.333333,aslg1813_8ch.wav,0.785398163397448,1,0.109883683472304,0
VM221101,18,pretrain,2,1,bkbg2001,The boy got into trouble,boy,got,trouble,NA,1482.666667,bkbg2001_8ch.wav,-0.200041220810455,0,-0.0890770297699627,-0.985439384207904
VM221101,19,pretrain,2,1,aslg1112,The clothes are covered in mud,clothes,covered,mud,NA,1742.583333,aslg1112_8ch.wav,-0.220962296547792,0,-2.00219816978583,-1.00636045994524
VM221101,20,pretrain,2,1,aslg1811,The man forgot his hat,man,forgot,hat,NA,1621.333333,aslg1811_8ch.wav,0.785398163397448,1,2.58076709450044,0
VM221101,21,pretrain,2,2,bkbg1002,The cleaner used a broom,cleaner,used,broom,NA,1632,bkbg1002_8ch.wav,0.785398163397448,1,1.14220230625231,0
VM221101,22,pretrain,2,2,bkbg1501,A man’s turning the tap,mans,turning,tap,NA,1760,bkbg1501_8ch.wav,0.525543112090232,0,-1.04456981382141,-0.259855051307216
VM221101,23,pretrain,2,2,aslg0809,The post office was near,post,office,near,NA,1322.666667,aslg0809_8ch.wav,0.785398163397448,1,1.45610530552892,0
VM221101,24,pretrain,2,2,aslg0715,The young mother's shopping,young,mothers,shopping,NA,1717.333333,aslg0715_8ch.wav,1.08805167617931,0,-0.690297693552302,0.302653512781866
VM221101,25,pretrain,2,4,bkbg2115,The man’s painting a sign,mans,painting,sign,NA,1653.333333,bkbg2115_4ch.wav,0.665017980346603,0,-1.76212942959375,-0.120380183050845
VM221101,26,pretrain,2,4,aslg1009,They came at Easter,They,came,Easter,NA,1597.4375,aslg1009_4ch.wav,0.785398163397448,1,2.87129962822848,0
VM221101,27,pretrain,2,4,aslg0214,The picture hung on the wall,picture,hung,wall,NA,1674.666667,aslg0214_4ch.wav,0.487362992129665,0,2.16153809259161,-0.298035171267784
VM221101,28,pretrain,2,4,aslg1310,Mother's filling the kettle,Mothers,filling,kettle,NA,1461.333333,aslg1310_4ch.wav,0.785398163397448,1,-1.16591231436699,0
VM221101,29,main,3,3,aslg0313,They picked some raspberries,They,picked,raspberries,NA,1866.666667,aslg0313_4ch.wav,0.785398163397448,1,0.413064410111977,0
VM221101,30,main,3,3,aslg1408,The rose bush was blooming,rose,bush,blooming,NA,1525.333333,aslg1408_4ch.wav,0.785398163397448,1,0.408645073953012,0
VM221101,31,main,3,3,bkbg1106,They finished the dinner,They,finished,dinner,NA,1098.666667,bkbg1106_4ch.wav,-0.0974847621216004,0,3.0625547813712,-0.882882925519049
VM221101,32,main,3,3,aslg0902,They parked by the station,They,parked,station,NA,1781.333333,aslg0902_4ch.wav,0.785398163397448,1,2.28751182402388,0
VM221101,33,main,3,4,aslg1712,The loud noise was sudden,loud,noise,sudden,NA,1630.895833,aslg1712_4ch.wav,0.501133532770374,0,2.64985400883204,-0.284264630627074
VM221101,34,main,3,4,bkbg0503,They’re running past the house,Theyre,running,past,house,1674.666667,bkbg0503_4ch.wav,0.785398163397448,1,-1.89019751863707,0
VM221101,35,main,3,4,bkbg1901,The family like fish,family,like,fish,NA,1504,bkbg1901_4ch.wav,1.06116195257646,0,1.83643548784425,0.275763789179009
VM221101,36,main,3,4,aslg0613,The bird's building a nest,birds,building,nest,NA,1706.291667,aslg0613_4ch.wav,0.581589080073673,0,-2.29576982236461,-0.203809083323775
VM221101,37,main,3,2,bkbg1201,The food cost a lot,food,cost,lot,NA,1440,bkbg1201_8ch.wav,0.785398163397448,1,-1.34707614447878,0
VM221101,38,main,3,2,bkbg1607,She’s paying for her bread,Shes,paying,bread,NA,1440,bkbg1607_8ch.wav,0.99057302534597,0,-1.83597608477115,0.205174861948522
VM221101,39,main,3,2,bkbg1301,The fruit came in a box,fruit,came,box,NA,1514.666667,bkbg1301_8ch.wav,0.566576083833458,0,1.92123283071743,-0.218822079563991
VM221101,40,main,3,2,bkbg1806,Rain falls from clouds,Rain,falls,clouds,NA,1824,bkbg1806_8ch.wav,0.785398163397448,1,1.86161195946279,0
VM221101,41,main,3,1,aslg1304,Mother served the soup,Mother,served,soup,NA,1589.333333,aslg1304_8ch.wav,1.64344023109564,0,0.591803543985044,0.858042067698196
VM221101,42,main,3,1,aslg1510,The man took a picture,man,took,picture,NA,1173.333333,aslg1510_8ch.wav,0.785398163397448,1,2.61750077753597,0
VM221101,43,main,3,1,bkbg1715,The mother reads a paper,mother,reads,paper,NA,1386.666667,bkbg1715_8ch.wav,0.785398163397448,1,-2.77337781259055,0
VM221101,44,main,3,1,bkbg0515,The naughty girl’s shouting,naughty,girls,shouting,NA,1578.666667,bkbg0515_8ch.wav,1.79254914564683,0,-2.52932714126141,1.00715098224939
VM221101,45,main,4,3,bkbg1107,The policeman knows the way,policeman,knows,way,NA,1568,bkbg1107_4ch.wav,1.69868484150586,0,-2.43233113516603,0.91328667810841
VM221101,46,main,4,3,aslg0806,The train arrived on time,train,arrived,time,NA,1941.333333,aslg0806_4ch.wav,0.785398163397448,1,-1.58069653421965,0
VM221101,47,main,4,3,aslg1101,The lady cut her finger,lady,cut,finger,NA,1504,aslg1101_4ch.wav,1.68136808737149,0,2.84724519022285,0.895969923974044
VM221101,48,main,4,3,bkbg0209,She’s taking her coat,Shes,taking,coat,NA,1514.666667,bkbg0209_4ch.wav,0.785398163397448,1,1.29277268807603,0
VM221101,49,main,4,3,aslg0507,She's wrapping the parcel,Shes,wrapping,parcel,NA,1715.104167,aslg0507_4ch.wav,1.65062652226246,0,0.236033310652491,0.865228358865009
VM221101,50,main,4,3,bkbg0802,A friend came for lunch,friend,came,lunch,NA,1621.333333,bkbg0802_4ch.wav,1.71456784434211,0,3.12287424151163,0.929169680944663
VM221101,51,main,4,2,bkbg1408,The kitchen window was clean,kitchen,window,clean,NA,1770.666667,bkbg1408_8ch.wav,0.785398163397448,1,1.1138407735071,0
VM221101,52,main,4,2,bkbg0116,The ice cream was pink,ice,cream,pink,NA,1738.666667,bkbg0116_8ch.wav,0.785398163397448,1,2.67447507411166,0
VM221101,53,main,4,2,aslg0810,They rowed the boat,They,rowed,boat,NA,1290.666667,aslg0810_8ch.wav,0.922186638465593,0,-2.35117193123007,0.136788475068145
VM221101,54,main,4,2,aslg0612,The men watched the race,men,watched,race,NA,1575.541667,aslg0612_8ch.wav,0.95902116774501,0,-1.17517712112328,0.173623004347562
VM221101,55,main,4,2,aslg1209,The red ball's bouncing,red,balls,bouncing,NA,1578.666667,aslg1209_8ch.wav,0.785398163397448,1,0.89934728467206,0
VM221101,56,main,4,2,aslg0501,The daughter closed the box,daughter,closed,box,NA,1811.145833,aslg0501_8ch.wav,0.785398163397448,1,-2.93615499290698,0
VM221101,57,main,4,3,aslg1103,Mother's talking to the milkman,Mothers,talking,milkman,NA,1608.166667,aslg1103_4ch.wav,1.68202759575627,0,1.8466272417566,0.896629432358823
