Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD,SentencePresence,WavfileDir,TriggerFixFlipTime,TriggerFixFlipEnd,FixFlipTime,FixFlipEnd,FixClearFlipTime,FixClearFlipEnd,DurAudOnset,StimAudOnset,StimAudFlipTime,StimHSOnset,StimHSFlipTime,StimHSFlipEnd,DurGbOnset,StimGbOnset,StimGbFlipTime,StimGbFlipEnd,GbClearFlipTime,GbClearFlipEnd,HSClearFlipTime,HSClearFlipEnd,endAudPositionSecs,estAudStopTime,Resp1PrmptTime,Resp1FlipTime,Resp1FlipEnd,Resp1ScrClearTime,Resp1ClearFlipTime,Resp1ClearFlipEnd,Resp2FlipTime,Resp2FlipEnd,Resp2ScrClearTime,TrialDuration,EndPromptFlipTime,EndPromptFlipEnd,SentenceOnset,SentenceFlipTime,SentenceFlipEnd,RunStartTime,BlockStartTime,BlockEndTime,BlockDur,RunDur,RunEndTime,RespAud,AccAud,RtAbsAud,RTAud,RespGb,AccGb,RtAbsGb,RTGb,RespMemory,AccMemory,RtAbsMemory,RTMemory
WB221109,1,pretrain,1,1,bkbg1709,They had some jam pudding,They,jam,pudding,NA,1397.333333,bkbg1709_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg1709_8ch.wav,NaN,NaN,1470163.6229621,1470163.6229808,0.20257219998166,0.202639300143346,NaN,1470163.7455343,0.647358099929988,1470163.8255343,0.656059199944139,0.656075400067493,NaN,NaN,NaN,NaN,NaN,NaN,2.04652770003304,2.04655020008795,1.39733333333333,1470165.67521263,1470165.6694898,2.19499190011993,2.19501350005157,1470167.317954,3.69671840011142,3.69676259998232,NaN,NaN,NaN,3.7110505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,9999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WB221109,2,pretrain,1,1,aslg0205,The salt cellar's full,salt,cellars,full,NA,1312,aslg0205_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg0205_8ch.wav,NaN,NaN,1470167.3388796,1470167.3389256,0.201957500074059,0.202023700112477,NaN,1470167.4608371,0.398630500072613,1470167.5408371,0.404804300051183,0.404820500174537,NaN,NaN,NaN,NaN,NaN,NaN,1.7127569001168,1.71283180010505,1.312,1470169.0565475,1470169.0516365,1.73373079998419,1.73375410004519,1470170.5726104,3.23571510007605,3.23578110011294,NaN,NaN,NaN,3.2502034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1470170.11391,1.04129960015416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WB221109,3,pretrain,1,1,aslg0101,They moved the furniture,They,moved,furniture,NA,1440,aslg0101_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg0101_8ch.wav,NaN,NaN,1470170.6051388,1470170.6051723,0.201985099818558,0.202051299856976,NaN,1470170.7271239,0.37646109983325,1470170.8071239,0.382470099953935,0.382485799957067,NaN,NaN,NaN,NaN,NaN,NaN,1.81857819994912,1.81860289978795,1.44,1470172.430771,1470172.423717,1.84199069999158,1.84201309992932,1470173.9471295,3.34401199989952,3.34407849982381,NaN,NaN,NaN,3.3584052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1470172.8260589,0.378929399885237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WB221109,4,pretrain,1,1,aslg1804,The daughter drank some lemonade,daughter,drank,lemonade,NA,1793.625,aslg1804_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\aslg1804_8ch.wav,NaN,NaN,1470173.9716386,1470173.9716716,0.202497699996457,0.202563999919221,NaN,1470174.0941363,0.394658099859953,1470174.1741363,0.403244599932805,0.403266599867493,NaN,NaN,NaN,NaN,NaN,NaN,2.19016479980201,2.1901888998691,1.793625,1470176.1677621,1470176.1618034,2.21258879988454,2.21261009993032,1470177.6842274,3.71461609983817,3.71468319999985,NaN,NaN,NaN,3.7293179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1470176.4913383,0.307110900059342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WB221109,5,pretrain,1,1,bkbg1404,Mother opens the drawer,Mother,opens,drawer,NA,1418.666667,bkbg1404_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg1404_8ch.wav,NaN,NaN,1470177.704365,1470177.7043936,0.202608600025997,0.202676200075075,NaN,1470177.8269736,0.385257400106639,1470177.9069736,0.392897300189361,0.392913400195539,NaN,NaN,NaN,NaN,NaN,NaN,1.80558899999596,1.80561450007372,1.41866666666667,1470179.51711337,1470179.509954,1.82994170021266,1.82996310014278,1470181.0343067,3.33195620006882,3.33202280011028,NaN,NaN,NaN,3.3469094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1470179.7229818,0.188675099983811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WB221109,6,pretrain,1,1,bkbg0201,The ladder's near the door,ladders,near,door,NA,1525.333333,bkbg0201_8ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg0201_8ch.wav,NaN,NaN,1470181.0539361,1470181.0539642,0.202476599952206,0.202527399873361,NaN,1470181.1764127,0.397943699965253,1470181.2564127,0.404317999957129,0.404341199900955,NaN,NaN,NaN,NaN,NaN,NaN,1.92537650000304,1.92545099998824,1.52533333333333,1470182.97951303,1470182.9793126,1.94436899991706,1.94438959984109,1470184.4983051,3.44656879990362,3.44664329988882,NaN,NaN,NaN,3.4561705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1470184.3407958,1.34249070007354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WB221109,7,pretrain,1,3,bkbg2002,They’re going out,Theyre,going,out,NA,1034.666667,bkbg2002_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg2002_4ch.wav,NaN,NaN,1470184.5430964,1470184.543111,0.202035899972543,0.202056899899617,NaN,1470184.6651323,0.375224699964747,1470184.7451323,0.3812080998905,0.381224300013855,NaN,NaN,NaN,NaN,NaN,NaN,1.41165119991638,1.41167719988152,1.03466666666667,1470185.95804157,1470185.9547476,1.42987869982608,1.42990089999512,1470187.4729751,2.93164249998517,2.93166559981182,NaN,NaN,NaN,2.9701078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1470186.2705618,0.297586700180545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WB221109,8,pretrain,1,3,bkbg0410,Some animals sleep on straw,animals,sleep,on,straw,1962.666667,bkbg0410_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg0410_4ch.wav,NaN,NaN,1470187.5029222,1470187.5029654,0.201474700123072,0.201495500048622,NaN,1470187.6243969,0.369123600190505,1470187.7043969,0.37473290017806,0.374750000191852,NaN,NaN,NaN,NaN,NaN,NaN,2.33343710005283,2.33346230001189,1.96266666666667,1470189.83576617,1470189.8363593,2.34965019999072,2.34967490006238,1470191.3525724,3.85092520015314,3.85094850021414,NaN,NaN,NaN,3.8670423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1470190.1920843,0.33951190020889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WB221109,9,pretrain,1,3,bkbg2112,The cricket team's playing,cricket,teams,playing,NA,1600,bkbg2112_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg2112_4ch.wav,NaN,NaN,1470191.3857666,1470191.3857951,0.201241099974141,0.201261499896646,NaN,1470191.5070077,0.371124499943107,1470191.5870077,0.376687899930403,0.376701999921352,NaN,NaN,NaN,NaN,NaN,NaN,1.97253370005637,1.97255899989977,1.6,1470193.3673208,1470193.3583003,1.99948140000924,1.99954660004005,1470194.885248,3.50239100004546,3.50243650004268,NaN,NaN,NaN,3.5184004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,9999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WB221109,10,pretrain,1,3,bkbg0914,The train’s moving fast,trains,moving,fast,NA,1717.333333,bkbg0914_4ch.wav,NaN,NaN,NaN,NaN,NaN,C:\Users\Han\Desktop\matlabTemp\v3_5_221008_1img_per_trial_gaborStim_fmriready_postbucni_fmripilot_moreoldsentences_moreprac_6runs_twolaptops_2ndarylaptop_bucni\audiostim\main\bkbg0914_4ch.wav,NaN,NaN,1470194.9185326,1470194.9185493,0.201195900095627,0.201215400127694,NaN,1470195.0397285,0.365154700120911,1470195.1197285,0.370687100104988,0.370701299980283,NaN,NaN,NaN,NaN,NaN,NaN,2.08413720014505,2.08417810010724,1.71733333333333,1470197.00289633,1470197.0026698,2.10058369999751,2.10062280017883,1470198.5191163,3.6020796999801,3.60210010013543,NaN,NaN,NaN,3.6180686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1470197.4724637,0.453347400063649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
