Participant,Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,AudFile,Orientation,TargetPresence,GaborLoc,TD
WB221109,1,pretrain,1,1,bkbg1709,They had some jam pudding,They,jam,pudding,NA,1397.333333,bkbg1709_8ch.wav,NaN,NaN,NaN,NaN
WB221109,2,pretrain,1,1,aslg0205,The salt cellar's full,salt,cellars,full,NA,1312,aslg0205_8ch.wav,NaN,NaN,NaN,NaN
WB221109,3,pretrain,1,1,aslg0101,They moved the furniture,They,moved,furniture,NA,1440,aslg0101_8ch.wav,NaN,NaN,NaN,NaN
WB221109,4,pretrain,1,1,aslg1804,The daughter drank some lemonade,daughter,drank,lemonade,NA,1793.625,aslg1804_8ch.wav,NaN,NaN,NaN,NaN
WB221109,5,pretrain,1,1,bkbg1404,Mother opens the drawer,Mother,opens,drawer,NA,1418.666667,bkbg1404_8ch.wav,NaN,NaN,NaN,NaN
WB221109,6,pretrain,1,1,bkbg0201,The ladder's near the door,ladders,near,door,NA,1525.333333,bkbg0201_8ch.wav,NaN,NaN,NaN,NaN
WB221109,7,pretrain,1,3,bkbg2002,They’re going out,Theyre,going,out,NA,1034.666667,bkbg2002_4ch.wav,NaN,NaN,NaN,NaN
WB221109,8,pretrain,1,3,bkbg0410,Some animals sleep on straw,animals,sleep,on,straw,1962.666667,bkbg0410_4ch.wav,NaN,NaN,NaN,NaN
WB221109,9,pretrain,1,3,bkbg2112,The cricket team's playing,cricket,teams,playing,NA,1600,bkbg2112_4ch.wav,NaN,NaN,NaN,NaN
WB221109,10,pretrain,1,3,bkbg0914,The train’s moving fast,trains,moving,fast,NA,1717.333333,bkbg0914_4ch.wav,NaN,NaN,NaN,NaN
WB221109,11,pretrain,1,3,bkbg1802,They like orange marmalade,They,like,orange,marmalade,1610.666667,bkbg1802_4ch.wav,NaN,NaN,NaN,NaN
WB221109,12,pretrain,1,3,bkbg0208,Snow falls at Christmas,Snow,falls,Christmas,NA,1728,bkbg0208_4ch.wav,NaN,NaN,NaN,NaN
WB221109,13,pretrain,2,3,bkbg1508,She bumped her head,She,bumped,head,NA,1184,bkbg1508_4ch.wav,0.785398163397448,1,-2.66806683494875,0
WB221109,14,pretrain,2,3,bkbg0809,The pond water's dirty,pond,waters,dirty,NA,1557.333333,bkbg0809_4ch.wav,1.69555133346542,0,1.80418997691561,0.910153170067967
WB221109,15,pretrain,2,3,bkbg0812,The bus stopped suddenly,bus,stopped,suddenly,NA,1578.666667,bkbg0812_4ch.wav,0.785398163397448,1,2.92479359469509,0
WB221109,16,pretrain,2,3,bkbg0307,The children are walking home,children,walking,home,NA,1632,bkbg0307_4ch.wav,1.65510589599821,0,2.06972435075069,0.869707732600758
WB221109,17,pretrain,2,1,aslg0615,They're waving at the train,Theyre,waving,train,NA,1514.666667,aslg0615_8ch.wav,0.785398163397448,1,0.799384819439774,0
WB221109,18,pretrain,2,1,aslg1207,The noise scared the sheep,noise,scared,sheep,NA,1845.145833,aslg1207_8ch.wav,-0.0561677804668826,0,-1.18989475336491,-0.841565943864331
WB221109,19,pretrain,2,1,bkbg0109,The postman shut the gate,postman,shut,gate,NA,1728,bkbg0109_8ch.wav,0.785398163397448,1,0.392107568491119,0
WB221109,20,pretrain,2,1,aslg0510,The ship sailed up the river,ship,sailed,river,NA,1706.666667,aslg0510_8ch.wav,1.76246257757052,0,1.19713818878871,0.977064414173069
WB221109,21,pretrain,2,4,bkbg1405,An old woman was at home,old,woman,home,NA,1557.333333,bkbg1405_4ch.wav,0.785398163397448,1,1.36935654568228,0
WB221109,22,pretrain,2,4,aslg1304,Mother served the soup,Mother,served,soup,NA,1589.333333,aslg1304_4ch.wav,0.516793140574193,0,2.97375778173324,-0.268605022823255
WB221109,23,pretrain,2,4,bkbg1913,They’re staying for supper,Theyre,staying,supper,NA,1248,bkbg1913_4ch.wav,0.520003174644409,0,-2.02851382098369,-0.265394988753039
WB221109,24,pretrain,2,4,bkbg1214,The rice pudding was ready,rice,pudding,ready,NA,1418.666667,bkbg1214_4ch.wav,0.785398163397448,1,-0.717216392614235,0
WB221109,25,pretrain,2,2,bkbg1506,The boy hurried to school,boy,hurried,school,NA,1600,bkbg1506_8ch.wav,0.484190780990412,0,2.05216280539412,-0.301207382407036
WB221109,26,pretrain,2,2,bkbg1108,The little girl was happy,little,girl,happy,NA,1386.666667,bkbg1108_8ch.wav,0.60879103883411,0,-2.55819591790708,-0.176607124563338
