Sequence,Session,Run,Block,Sentence,SpContent,Keyword1,Keyword2,Keyword3,Keyword4,AudDur,compared to 2000ms?,,AudFile,Orientation,TargetPresence,GaborLoc,TD,SentencePresence,WavfileDir,FixFlipTime,FixFlipEnd,FixClearFlipTime,FixClearFlipEnd,DurAudOnset,StimAudOnset,StimAudFlipTime,latency,DurGbOnset,StimGbOnset,StimGbFlipTime,StimGbFlipEnd,GbClearFlipTime,GbClearFlipEnd,endAudPositionSecs,estAudStopTime,Resp1PrmptTime,Resp1FlipTime,Resp1FlipEnd,Resp1ScrClearTime,Resp1ClearFlipTime,Resp1ClearFlipEnd,Resp2FlipTime,Resp2FlipEnd,Resp2ScrClearTime,TrialDuration,EndPromptFlipTime,EndPromptFlipEnd,SentenceOnset,SentenceFlipTime,SentenceFlipEnd,RespAud,AccAud,RtAbsAud,RTAud,RespGb,AccGb,RtAbsGb,RTGb,RespMemory,AccMemory,RtAbsMemory,RTMemory
1,pretrain,1,2,bkbf0502,The matches lie on the shelf,matches,lie,shelf,,1678.321995,321.678005,,bkbf0502_8ch.wav,0.485457845,0,2.564528578,-0.299940319,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0502_8ch.wav,1343196.012,1343196.012,0.201344,0.2013827,0.160839003,1343196.351,0.338839002,-0.023344,0.85,1343197.062,1.0515391,1.0515614,1.3533014,1.3533717,1.6783125,1343198.029,1343198.212,2.2016629,2.2017249,1343199.712,NaN,NaN,3.7013865,3.7014143,1343201.212,5.2085301,5.2018412,5.2019108,NaN,NaN,NaN,0,0,1343198.929,0.7155356,1,0,1343200.466,0.7523891,NaN,NaN,NaN,NaN
2,pretrain,1,2,bkbf1614,The cars going too fast,cars,going,too,fast,1783.900227,216.099773,,bkbf1614_8ch.wav,0.785398163,1,2.977592567,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf1614_8ch.wav,1343201.242,1343201.243,0.2015717,0.2016053,0.108049887,1343201.528,0.286049886,-0.0235717,0.85,1343202.292,1.0517917,1.0518601,1.353182,1.3532037,1.783895833,1343203.311,1343203.442,2.2016069,2.2016753,1343204.942,NaN,NaN,3.7016308,3.7016966,1343206.442,5.2161819,5.2017537,5.2018222,NaN,NaN,NaN,1,1,1343204.124,0.6802654,0,0,1343205.52,0.5762969,NaN,NaN,NaN,NaN
3,pretrain,1,2,bkbf0215,They're watching the train,Theyre,watching,train,,1346.031746,653.968254,,bkbf0215_8ch.wav,0.785398163,1,-1.333886781,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0215_8ch.wav,1343206.471,1343206.471,0.2017752,0.2017996,0.326984127,1343206.976,0.504984127,-0.0237752,0.85,1343207.521,1.0517409,1.051803,1.3534523,1.3535194,1.346041667,1343208.321,1343208.671,2.2011958,2.2012167,1343210.171,NaN,NaN,3.7016333,3.7016993,1343211.671,5.2161576,5.2016783,5.2017396,NaN,NaN,NaN,1,1,1343208.937,0.2649234,0,0,1343210.556,0.3837274,NaN,NaN,NaN,NaN
4,pretrain,1,2,bkbf2007,The baby has blue eyes,baby,blue,eyes,,1654.104308,345.895692,,bkbf2007_8ch.wav,0.984645982,0,-0.990590306,0.199247818,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf2007_8ch.wav,1343211.699,1343211.699,0.2018045,0.2018665,0.172947846,1343212.05,0.350947846,-0.0238045,0.85,1343212.749,1.0517116,1.0519233,1.3532239,1.3532482,1.654104167,1343213.704,1343213.899,2.2016722,2.2017332,1343215.399,NaN,NaN,3.7015861,3.7016468,1343216.899,5.216148,5.2015664,5.2016591,NaN,NaN,NaN,1,1,1343214.375,0.474253,0,1,1343215.799,0.3980765,NaN,NaN,NaN,NaN
5,pretrain,1,2,bkbf0813,She writes to her brother,She,writes,brother,,1434.603175,565.396825,,bkbf0813_8ch.wav,0.785398163,1,0.053378182,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0813_8ch.wav,1343216.927,1343216.927,0.2019897,0.2020513,0.282698413,1343217.388,0.460698412,-0.0239897,0.85,1343217.977,1.0512889,1.0513118,1.3531112,1.3531785,1.434604167,1343218.823,1343219.127,2.2015874,2.2016524,1343220.627,NaN,NaN,3.701727,3.7017934,1343222.127,5.2180027,5.2015881,5.2016119,NaN,NaN,NaN,1,1,1343219.378,0.2492905,0,0,1343220.917,0.2877331,NaN,NaN,NaN,NaN
6,pretrain,1,2,bkbf0709,The bus went early,bus,went,early,,1284.399093,715.600907,,bkbf0709_8ch.wav,0.667409082,0,1.734982614,-0.117989082,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0709_8ch.wav,1343222.156,1343222.156,0.2020995,0.202162,0.357800454,1343222.691,0.535800453,-0.0240995,0.85,1343223.206,1.0517003,1.0517622,1.3530236,1.3530488,1.284395833,1343223.976,1343224.356,2.2016582,2.2016805,1343225.856,NaN,NaN,3.7016443,3.7017045,1343227.356,5.2175491,5.2016974,5.2017747,NaN,NaN,NaN,1,1,1343225.283,0.9260921,0,1,1343226.372,0.5149053,NaN,NaN,NaN,NaN
7,pretrain,1,3,bkbf0115,The rain came down,rain,came,down,,1370.15873,629.84127,,bkbf0115_6ch.wav,1.705779902,0,-1.309451197,0.920381739,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0115_6ch.wav,1343227.384,1343227.384,0.2018264,0.2018883,0.314920635,1343227.877,0.492920635,-0.0238264,0.85,1343228.434,1.0516944,1.0517572,1.3535329,1.3535947,1.370166667,1343229.248,1343229.584,2.2016169,2.2016847,1343231.084,NaN,NaN,3.7012836,3.7013172,1343232.584,5.2159653,5.2015806,5.2016044,NaN,NaN,NaN,0,0,1343229.862,0.2763482,1,0,1343231.427,0.3412763,NaN,NaN,NaN,NaN
8,pretrain,1,3,bkbf0713,The girl has a picture book,girl,picture,book,,1435.011338,564.988662,,bkbf0713_6ch.wav,0.785398163,1,-2.184820193,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0713_6ch.wav,1343232.613,1343232.613,0.202047,0.2021089,0.282494331,1343233.073,0.460494331,-0.024047,0.85,1343233.663,1.0525619,1.0525862,1.3543149,1.3543886,1.435020833,1343234.508,1343234.813,2.2015497,2.2016108,1343236.313,NaN,NaN,3.701538,3.7015997,1343237.813,5.2175737,5.2017421,5.2018045,NaN,NaN,NaN,0,0,1343235.058,0.2437295,1,1,1343236.649,0.3353909,NaN,NaN,NaN,NaN
9,pretrain,1,3,bkbf2011,The girl caught a cold,girl,caught,cold,,1471.70068,528.29932,,bkbf2011_6ch.wav,0.785398163,1,1.720529156,0,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf2011_6ch.wav,1343237.841,1343237.841,0.2017657,0.201827,0.26414966,1343238.283,0.44214966,-0.0237657,0.85,1343238.891,1.0517668,1.0518348,1.3536076,1.3536942,1.471708333,1343239.755,1343240.041,2.2015512,2.2016113,1343241.541,NaN,NaN,3.7015725,3.7016319,1343243.041,5.2161776,5.2016845,5.2017468,NaN,NaN,NaN,0,0,1343240.884,0.8414928,1,1,1343242.169,0.6265283,NaN,NaN,NaN,NaN
10,pretrain,1,3,bkbf0104,Children like strawberries,Children,like,strawberries,,1632.154195,367.845805,,bkbf0104_6ch.wav,1.678511952,0,-1.910251712,0.893113788,NaN,C:\Users\Han\Desktop\scripts_han\Versions\study3_behavioural\v2_220506_1img_per_trial_gaborStim_fmriready_postbucni_behavpilot\audiostim\main\bkbf0104_6ch.wav,1343243.07,1343243.07,0.2016592,0.2017196,0.183922903,1343243.432,0.361922902,-0.0236592,0.85,1343244.12,1.0513829,1.051405,1.3530582,1.3531175,1.632145833,1343245.063,1343245.27,2.2012157,2.2012374,1343246.77,NaN,NaN,3.7016526,3.7017823,1343248.27,5.2160378,5.2015867,5.2016121,NaN,NaN,NaN,1,1,1343245.812,0.5413881,0,1,1343246.844,0.0727652,NaN,NaN,NaN,NaN
