list,sentence_n,sentence,grammar,first_word,keyword_n,keyword_1,keyword_2,keyword_3,keyword_4,filename,audio_dur
1,1,The clown had a funny face,svoc,determiner,3,clown,funny,face,NA,bkbg0101,1920
1,2,The car engine's running,sv,determiner,3,car,engines,running,NA,bkbg0102,1546.666667
1,3,She cut with her knife,svoc,pronoun,3,She,cut,knife,NA,bkbg0103,1504
1,4,Children like strawberries,svoc,noun,3,Children,like,strawberries,NA,bkbg0104,1642.666667
1,5,The house had nine rooms,svoc,determiner,3,house,nine,rooms,NA,bkbg0105,1930.666667
1,6,They’re buying some bread,svoc,pronoun,3,Theyre,buying,bread,NA,bkbg0106,1344
1,7,The green tomatoes are small,sv,determiner,3,green,tomatoes,small,NA,bkbg0107,1962.666667
1,8,He played with his train,svoc,pronoun,3,He,played,train,NA,bkbg0108,1600
1,9,The postman shut the gate,svoc,determiner,3,postman,shut,gate,NA,bkbg0109,1728
1,10,They’re looking at the clock,svoc,pronoun,4,Theyre,looking,at,clock,bkbg0110,1365.333333
1,11,The bag bumps on the ground,svoc,determiner,3,bag,bumps,ground,NA,bkbg0111,1920
1,12,The boy did a handstand,svoc,determiner,3,boy,did,handstand,NA,bkbg0112,1685.333333
1,13,A cat sits on the bed,svoc,determiner,4,cat,sits,on,bed,bkbg0113,1642.666667
1,14,The lorry carried fruit,svoc,determiner,3,lorry,carried,fruit,NA,bkbg0114,1706.666667
1,15,The rain came down,svoc,determiner,3,rain,came,down,NA,bkbg0115,1461.333333
1,16,The ice cream was pink,sv,determiner,3,ice,cream,pink,NA,bkbg0116,1738.666667
2,1,The ladder's near the door,svoc,determiner,3,ladders,near,door,NA,bkbg0201,1525.333333
2,2,They had a lovely day,svoc,pronoun,3,They,lovely,day,NA,bkbg0202,1301.333333
2,3,The ball went into the goal,svoc,determiner,4,ball,went,into,goal,bkbg0203,1749.333333
2,4,The old gloves are dirty,sv,determiner,3,old,gloves,dirty,NA,bkbg0204,1504
2,5,He cut his finger,svoc,pronoun,3,He,cut,finger,NA,bkbg0205,1088
2,6,The thin dog was hungry,sv,determiner,3,thin,dog,hungry,NA,bkbg0206,1472
2,7,The boy knew the game,svoc,determiner,3,boy,knew,game,NA,bkbg0207,1482.666667
2,8,Snow falls at Christmas,svoc,noun,3,Snow,falls,Christmas,NA,bkbg0208,1728
2,9,She’s taking her coat,svoc,pronoun,3,Shes,taking,coat,NA,bkbg0209,1514.666667
2,10,The police chased the car,svoc,determiner,3,police,chased,car,NA,bkbg0210,1706.666667
2,11,A mouse ran down the hole,svoc,determiner,4,mouse,ran,down,hole,bkbg0211,1762.083333
2,12,The lady’s making a toy,svoc,determiner,3,ladys,making,toy,NA,bkbg0212,1685.333333
2,13,Some sticks were under the tree,svoc,determiner,3,sticks,under,tree,NA,bkbg0213,1941.333333
2,14,The little baby sleeps,sv,determiner,3,little,baby,sleeps,NA,bkbg0214,1610.666667
